respid,sex,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,device1a,smart2,snsint2,device1b,device1c,device1d,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,sns2a,sns2b,sns2c,sns2d,sns2e,pial5a,pial5b,pial5c,pial5d,pial11,pial11a,pial11ao@,pial11_igbm,pial12,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln
77,1,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,2, ,2,2,1,1,3,1,1,"ACCESS TO THE WORLD, LIKE A WHOLE WORLD MUSEUM.  MY PASTOR TELLS ME THAT GOOGLE IS LIKE THE SECOND HOLY SPIRIT.",1,1,0, , , ,62,1,3,1,2,1, , , ,1, ,8,1, 
78,1,1,1,2,1,2, ,1,1,2,1,1,2,2,2,1,1,1,2,2,2, , ,3,5,5,4,4,4, ,2,1,people lack self control,8,8,2,1,2,2,54,1,5,1,2,1, , , ,1, ,5,1, 
79,1,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,2,1,to many scams going on,6, ,22,1,2,2,79,1,4,3,2,1, , , ,1, ,99,1, 
80,2,1,2,5,1,2, ,1,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1,3,3, ,2,1,to much bad sites,6,1,12,1,2,2,70,5,3,3,2,9, , , ,9, ,2,3,2
83,2,1,2,5,1,8, ,1,2,2,2,1,2,2,2,2,2,1,2,2,2, , , , ,5,2,4,4, ,1,1,A GOOD THIMG BUT POORLY USED,8,1,10,1,2,2,73,1,2,3,2,1, , , ,1, ,98,2, 
84,1,1,1,2,1,2, ,1,1,1,2,2,2,2,1,1,2,1,1,2,2, ,2,1, ,3,2,3,3,4,1,1,information fast,1,1,3,1,1,2,47,1,7,1,1,7, , , ,5,3,2,4,8
85,1,1,1,2,1,3, ,1,1,1,1,1,2,2,2,1,1,1,2,1,1, , ,2,2,2,4,2,2,4,1,1,information,1,1,3,1,1,2,61,1,7,3,1,7, , , ,5,1,7,3,2
86,2,1,2,2,1,2, ,1,1,2,1,1,2,2,2,2,2,1,2,2,1, , , , ,5,4,1,2, ,1,1,it allows me to look up the ansers to questions instead of going to the library,1,1,97,1,2,2,69,6,8,3,2,1, , , ,1, ,2,3,2
89,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,4, , ,8, , ,9, ,98,1,2,2,60,3,4,6,2,2, , , ,2, ,99,2, 
90,2,1,1,3,1,2, ,1,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1,3,3, ,2,1,fake news,3,1,50,1,2,2,72,5,5,3,2,1, , , ,1, ,4,2, 
91,2,1,1,2,2, , ,1,1,1,1,1,2,2,1,1,2,1,2,2,2, ,1,1, ,2,1,1,2,3,1,1,google things and everything is based on technologhy now,1,1,5,1,2,2,30,6,3,4,2,2, , , ,2, ,3,2, 
92,1,1,2,1,1,2, ,1,1,1,2,1,2,2,2,1,2,1,2,2,2, , ,4, ,1,2,2,2,4,2,1,fake news and false information,3,1,12,1,2,2,72,3,4,5,2,1, , , ,1, ,4,2, 
94,2,1,1,2,1,2, ,1,1,1,1,1,2,1,2,1,2,1,2,1,1,5, ,3, ,3,4,4,2,4,1,1,"education, easy to find answers",1,1,8,1,1,1,67,1,6,2,2,1, , , ,1, ,7,1, 
96,2,1,1,2,2, , ,1,1,1,2,1,2,2,2,1,2,1,2,2,2, , ,3, ,5,6,2,2,4,3, , ,9,1,24,1,2,2,60,3,8,1,2,1, , , ,1, ,7,3,2
97,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,4,3, , ,1,1,it gives alot of communication through the world (else) no,2, ,0, , , ,71,5,2,3,2,1, , , ,1, ,1,4,9
98,1,1,2,2,1,2, ,2, ,1,2,1,1,2,2,1,2,2,2,2,2, , ,3, , ,1, ,1,2,1,1,free,8,1,36,2,1,2,64,1,7,1,8,9, , , ,9, ,8,9,9
99,2,1,1,2,1,2, ,1,1,2,2,1,2,2,2,2,2,1,2,1,2, , , , ,3,2,2,1, ,1,1,BECAUSE OF THE RESOURCES THAT IT OPENS UP.,1,1,36,1,1,1,80,1,6,3,2,1, , , ,1, ,7,2, 
100,1,1,1,1,1,2, ,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2, ,1, ,2,1,1,1,3,1,1,instant acces to info,1,1,12,1,2,1,68,1,7,3,2,1, , , ,1, ,8,1, 
101,2,1,2,3,1,2, ,1,2,1,2,1,2,2,2,1,1,2,2,2,2, , ,2,5, ,1,1,1,3,1,1,KEEP CONTACT WITH DIFFERENT PEOPLE,2,1,0, , , ,68,3,4,3,2,1, , , ,1, ,3,3,1
102,2,1,1,1,1,2, ,1,1,1,1,1,1,2,1,1,1,1,2,1,2, ,2,3,1,2,3,1,1,2,1,1,Opens up a line of communication to the world,2,1,2,1,2,2,20,6,4,2,2,2, , , ,2, ,6,2, 
103,2,1,1,1,1,2, ,1,1,1,1,1,2,2,2,1,2,2,2,2,2, , ,2, , ,1,4,2,4,3, , ,9,1,3,2,2,1,67,1,4,3,2,1, , , ,1, ,99,1, 
104,1,1,1,2,1,2, ,1,1,1,2,1,1,2,2,1,2,1,2,2,2, , ,5, ,3,2,2,2,3,1,1,because of the capablity to exchange information,1,1,8,1,1,1,60,1,6,1,2,1, , , ,1, ,8,2, 
105,1,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,2,2,2,2, , ,1, , ,1,1,1,2,1,1,new information,1,1,0, , , ,66,1,5,3,2,1, , , ,1, ,7,2, 
106,2,1,1,2,1,2, ,1,1,2,1,1,1,2,2,2,2,1,1,1,2, , , , ,3,1,2,1, ,1,1,"improved communications, and lots of learning opportunities",2,1,6,1,2,2,57,1,6,4,2,1, , , ,1, ,8,1, 
107,2,1,2,4,1,2, ,1,1,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,3,2,3, ,1,1,access to information quickly,1,1,12,1,2,2,57,1,3,1,2,1, , , ,1, ,8,2, 
109,2,1,1,2,1,2, ,1,1,1,1,1,1,2,1,1,1,1,2,1,2, ,1,1,1,5,1,1,2,1,2,1,too much infiormation for kids,5,1,6,1,2,2,43,1,3,1,2,1, , , ,1, ,4,1, 
111,1,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,2, ,5,1,1,1,4,3, , ,9,3,12,2,1,2,68,1,6,3,2,1, , , ,1, ,6,3,2
112,1,1,1,2,1,2, ,1,1,2,1,1,2,2,2,2,2,1,2,2,2, , , , ,2,1,2,1, ,3, , ,9,1,20,1,2,2,43,1,3,1,2,2, , , ,2, ,99,3,2
113,2,1,1,1,1,2, ,1,1,1,1,1,1,1,2,1,2,1,2,2,2,4, ,3, ,1,2,1,1,3,1,1,easy access to lots ofinfo,1,1,97,1,1,1,36,1,6,1,2,1, , , ,1, ,5,3,1
114,1,1,1,2,1,2, ,1,1,2,2,1,2,2,2,1,2,1,2,2,2, , ,5, ,3,4,2,2, ,1,1,easy acces to more information and more choices for infromation,1,1,30,1,2,2,63,3,8,3,2,1, , , ,1, ,3,3,8
116,1,1,1,2,1,2, ,1,1,2,1,1,1,2,2,2,2,1,2,2,2, , , , ,3,1,2,3, ,1,1,the information availabilty,1,1,3,1,2,2,39,1,3,1,2,1, , , ,1, ,8,1, 
117,1,1,1,1,1,2, ,1,1,1,2,1,2,2,2,1,2,2,2,2,2, , ,1, , ,1,3,1,1,1,1,"its addictive, everyone is on it",8,1,0, , , ,68,1,3,3,2,1, , , ,1, ,3,2, 
119,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,4, , ,8, , ,9, ,0, , , ,91,5,3,3,2,1, , , ,1, ,99,2, 
120,2,1,2,5,1,2, ,1,1,2,2,1,2,2,2,1,2,1,2,2,2, , ,5, ,5,1,2,2, ,2,1,I think people get addicted to it. They spend hours on it and even neglecting their children,5,1,5,1,2,2,80,3,3,3,2,1, , , ,1, ,6,1, 
121,2,1,1,2,1,2, ,1,1,1,1,1,2,1,2,1,2,1,2,1,2,5, ,2, ,3,1,3,2,3,1,1,excellent network,2,1,4,1,2,2,63,1,6,1,2,9, , , ,9, ,6,2, 
122,1,1,1,2,1,2, ,1,1,1,1,1,1,2,2,1,2,1,2,1,1, , ,1, ,1,3,1,1,1,2,1,lack of interpersonal communication,4,1,20,1,2,1,46,1,5,1,2,1, , , ,1, ,8,4,1
123,1,1,1,2,1,2, ,1,1,1,2,1,1,2,2,1,2,1,2,2,2, , ,2, ,1,2,2,2,4,1,1,you can do reasearch on topics or famous people,1,1,1,1,2,2,35,6,6,4,2,2, , , ,2, ,1,2, 
124,1,1,1,1,1,2, ,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,3,1, ,2,1,1,5,1,1,1,it makes alot of info accessible,1,1,6,1,2,1,46,1,8,2,2,1, , , ,1, ,9,3,2
127,1,1,1,3,1,2, ,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1, ,4, ,5,1,1,1,3,1,1,it passes on knowledge who dont have it availble to them,1,1,3,1,2,2,99,1,6,3,2,1, , , ,1, ,7,2, 
128,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,4, , ,2,1,the internet has access to personal information,7, ,0, , , ,89,5,3,3,2,1, , , ,1, ,3,2, 
129,2,1,1,2,1,2, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,3,3,4,1,1,3,1,1,Education access,1,1,25,1,2,1,44,1,6,1,2,3, , , ,3, ,9,1, 
130,2,2,2, , , , ,1,2,1,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1, ,6,3, , ,9, ,2,1,2,8,57,9,3,4,2,2, , , ,2, ,98,2, 
133,2,1,1,4,1,8, ,1,8,2,1,1,2,2,2,2,2,2,2,1,2, , , , , ,2,3,2, ,1,1,communicate faster,2,1,12,1,2,1,81,1,5,3,2,1, , , ,1, ,9,4,1
135,2,1,1,1,2, , ,1,1,1,2,2,1,2,2,1,2,1,2,2,2, , ,1, ,1,3,4,4,3,1,1,informatiom,1,1,10,1,2,2,32,6,4,1,1,1, , , ,1,1,2,3,2
136,2,2,2, , , , ,1,2,2,1,1,2,2,2,2,2,2,2,2,2, , , , , ,1,1, , ,1,1,know alot of people who use it,8, ,12,1,2,2,83,5,6,3,2,1, , , ,1, ,4,2, 
137,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,2, , , ,1,1,"cosas importantes que puede conseguir por internet, cosas buenas",9, ,0, , , ,77,5,3,3,1,1, , , ,1,3,1,3,1
138,1,1,2,5,1,2, ,2, ,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,4, ,3, ,1,1,HELPS FIND SEARCH EQUIPTMENT AND LOCATE ITEMS,1,1,0, , , ,55,1,3,1,2,1, , , ,1, ,8,3,8
139,1,1,1,2,1,3, ,1,1,1,1,1,2,2,2,1,2,1,2,2,1, , ,4, ,2,4,1,1,4,1,1,the simulation of the internet,8,1,19,1,2,1,69,1,7,1,2,1, , , ,1, ,8,2, 
140,1,1,1,2,1,2, ,1,1,1,1,1,1,2,2,1,2,1,2,2,1, , ,1, ,2,2,1,1,1,1,1,communication,2,1,0, , , ,99,2,4,1,1,1,2,3,7,4,1,99,2, 
142,2,1,1,3,1,2, ,1,2,2,1,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2, ,3, , ,9,1,3,1,2,2,60,5,5,1,2,1, , , ,1, ,7,3,8
145,2,1,1,3,1,2, ,1,1,1,2,1,2,2,2,1,2,1,2,1,1, , ,3, ,5,1,2,1,2,3, , ,9,1,4,1,2,2,63,5,8,2,2,1, , , ,1, ,3,3,8
147,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,1,1,conversation to be had,2, ,12,1,2,2,91,5,3,3,2,1, , , ,1, ,2,1, 
148,1,1,1,2,1,2, ,1,1,1,2,1,2,2,2,1,2,1,2,1,1, , ,3, ,4,2,1,1,4,1,1,Ease at which information can be gotten by anyone. Example googling.,1,1,6,1,2,2,56,1,6,1,2,1, , , ,1, ,9,1, 
151,1,1,1,2,1,2, ,1,1,2,1,1,2,2,2,2,2,1,2,2,2, , , , ,4,4,4,1, ,1,1,information,1,1,10,1,2,1,61,1,5,1,2,1, , , ,1, ,99,9,9
152,2,1,1,4,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,3, ,3,1,1,1,4,3, , ,9,1,99, , , ,67,1,7,3,2,1, , , ,1, ,6,2, 
153,1,1,2,2,1,2, ,1,2,2,2,1,2,2,2,2,2,1,2,2,2, , , , ,1,4,3,3, ,8, , ,9,1,50,1,2,1,65,1,7,6,2,1, , , ,1, ,8,3,8
155,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,2, , , ,8, , ,9, ,97,1,2,2,59,1,7,1,2,1, , , ,1, ,99,9,9
156,2,1,1,1,2, , ,1,1,1,2,1,1,2,2,1,2,1,2,1,1, , ,1, ,1,1,3,3,2,1,1,keeps people connected more,2,1,3,1,2,2,39,2,6,2,2,8, , , ,9, ,3,1, 
158,2,1,1,2,1,3, ,1,1,1,1,1,1,1,2,1,2,1,1,2,1,3, ,1, ,3,2,4,1,2,1,1,gave me access to travel and information,1,1,3,1,2,2,61,1,4,6,2,1, , , ,1, ,3,2, 
159,2,1,1,3,1,2, ,1,1,1,1,2,2,2,2,1,2,2,2,2,2, , ,2, , ,3,3,3,4,3, , ,9,3,12,1,2,1,77,5,4,2,2,1, , , ,1, ,3,3,1
161,1,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,3, , , ,3, , ,9, ,0, , , ,79,3,2,3,2,1, , , ,1, ,98,1, 
162,1,1,2,5,1,2, ,2, ,2,2,1,2,2,2,1,2,2,2,2,2, , ,2, , ,4, ,4, ,2,1,nobody talks to each other (else) thats it,4,2,8,1,2,2,72,5,6,3,1,7, , , ,5,1,2,4,9
