age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
41,entrepreneur,married,unknown,no,89.0,yes,no,unknown,6,may,333,2,-1,0,unknown,no
36,management,single,tertiary,no,442.0,yes,yes,cellular,29,jul,102,3,-1,0,unknown,no
45,unemployed,divorced,primary,yes,-249.0,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no
55,entrepreneur,married,secondary,no,8104.0,no,no,cellular,6,feb,213,2,-1,0,unknown,no
39,technician,married,secondary,no,501.0,no,no,unknown,26,may,289,1,-1,0,unknown,no
35,technician,divorced,secondary,no,308.0,no,no,cellular,22,aug,77,2,-1,0,unknown,no
55,admin.,married,secondary,no,602.0,no,no,cellular,1,jun,324,3,90,2,success,yes
55,technician,married,secondary,no,273.0,yes,no,cellular,29,jan,84,3,183,3,failure,no
27,self-employed,single,secondary,no,50.0,no,no,cellular,29,jan,168,1,-1,0,unknown,no
34,technician,married,secondary,no,1641.0,yes,no,cellular,17,apr,380,1,-1,0,unknown,no
34,blue-collar,married,tertiary,no,20.0,no,no,unknown,4,oct,10,1,-1,0,unknown,no
25,admin.,single,secondary,no,4590.0,yes,no,unknown,28,may,199,2,-1,0,unknown,no
41,admin.,single,secondary,no,-256.0,no,yes,unknown,9,may,35,3,-1,0,unknown,no
43,services,married,secondary,no,978.0,yes,yes,unknown,26,may,82,2,-1,0,unknown,no
28,management,single,tertiary,no,80.0,no,no,cellular,20,oct,676,2,146,2,failure,yes
31,admin.,single,secondary,no,2104.0,yes,no,unknown,3,jun,455,1,-1,0,unknown,no
78,housemaid,married,secondary,no,499.0,no,no,telephone,16,mar,80,4,-1,0,unknown,no
45,blue-collar,divorced,secondary,no,1269.0,yes,no,cellular,29,jan,549,2,-1,0,unknown,no
48,technician,married,tertiary,no,310.0,no,no,unknown,6,may,135,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,1143.0,yes,yes,cellular,10,jul,412,1,-1,0,unknown,no
42,technician,married,secondary,no,2980.0,no,no,unknown,20,jun,101,3,-1,0,unknown,no
37,management,single,tertiary,no,37.0,no,no,cellular,28,jan,253,2,-1,0,unknown,no
40,admin.,single,secondary,no,462.0,yes,yes,cellular,6,apr,272,1,335,4,other,no
32,admin.,married,secondary,no,1031.0,yes,no,cellular,17,jul,84,1,-1,0,unknown,no
42,management,married,tertiary,no,9009.0,no,no,cellular,20,nov,135,2,-1,0,unknown,no
43,admin.,married,secondary,no,-465.0,yes,yes,cellular,23,jul,166,1,-1,0,unknown,no
44,admin.,married,secondary,no,5181.0,yes,yes,cellular,31,jul,18,7,-1,0,unknown,no
37,admin.,married,secondary,no,176.0,yes,no,cellular,5,may,147,2,347,1,failure,no
37,unknown,married,unknown,no,1699.0,no,no,unknown,9,jun,63,1,-1,0,unknown,no
37,admin.,married,tertiary,no,0.0,yes,no,cellular,17,nov,65,2,119,1,failure,no
28,technician,single,tertiary,no,172.0,yes,yes,cellular,2,feb,194,2,-1,0,unknown,no
32,services,single,secondary,no,0.0,no,yes,cellular,11,jul,333,2,-1,0,unknown,no
34,admin.,single,secondary,no,6979.0,yes,no,cellular,15,may,14,5,-1,0,unknown,no
40,admin.,divorced,secondary,no,6.0,no,no,unknown,11,jun,140,1,-1,0,unknown,no
34,services,married,secondary,no,-62.0,yes,no,unknown,16,jun,109,3,-1,0,unknown,no
34,self-employed,married,tertiary,no,1972.0,yes,no,cellular,23,jul,61,2,-1,0,unknown,no
34,admin.,married,tertiary,no,899.0,yes,no,telephone,19,nov,377,3,7,4,success,no
37,services,single,secondary,no,21.0,yes,no,cellular,2,feb,96,1,271,2,other,no
36,technician,married,secondary,no,23.0,yes,no,cellular,8,may,152,2,347,1,failure,no
56,retired,married,secondary,no,-1206.0,yes,no,cellular,15,jun,382,2,-1,0,unknown,yes
49,blue-collar,married,primary,no,0.0,yes,yes,telephone,23,jul,97,6,-1,0,unknown,no
33,self-employed,married,secondary,no,215.0,yes,no,cellular,29,jul,543,12,-1,0,unknown,no
30,management,single,tertiary,no,1372.0,no,no,cellular,20,nov,240,2,-1,0,unknown,no
36,services,married,secondary,no,1981.0,no,no,unknown,17,jun,48,2,-1,0,unknown,no
23,student,single,secondary,no,9216.0,no,no,cellular,5,jun,471,2,-1,0,unknown,no
57,retired,divorced,secondary,no,39.0,yes,no,cellular,30,jul,354,3,-1,0,unknown,no
27,blue-collar,single,secondary,no,5563.0,yes,no,unknown,30,may,435,2,-1,0,unknown,no
38,services,married,secondary,no,1.0,no,yes,cellular,21,nov,152,2,-1,0,unknown,no
42,technician,married,tertiary,no,782.0,no,no,cellular,3,apr,285,1,-1,0,unknown,no
75,retired,married,secondary,no,3771.0,no,no,telephone,15,apr,185,1,181,2,success,yes
34,technician,single,tertiary,no,992.0,yes,no,cellular,4,may,301,1,88,2,success,no
48,technician,married,secondary,no,1526.0,no,no,cellular,6,aug,273,2,-1,0,unknown,no
35,technician,single,tertiary,no,2658.0,yes,no,cellular,19,aug,768,2,141,3,failure,yes
39,management,divorced,tertiary,no,1315.0,yes,no,cellular,19,nov,1337,4,126,1,failure,no
29,blue-collar,single,tertiary,no,455.0,no,no,telephone,21,apr,403,1,-1,0,unknown,yes
45,technician,single,tertiary,no,0.0,yes,no,cellular,18,nov,139,2,-1,0,unknown,no
42,technician,married,secondary,no,2030.0,yes,yes,cellular,9,jul,196,1,-1,0,unknown,no
29,technician,married,secondary,no,1599.0,yes,no,cellular,8,jul,115,1,61,1,failure,no
38,services,single,secondary,no,-196.0,yes,no,cellular,2,feb,60,1,271,1,failure,no
56,retired,married,secondary,no,,no,no,cellular,28,aug,17,14,-1,0,unknown,no
36,technician,single,secondary,no,9149.0,yes,no,cellular,13,aug,141,3,-1,0,unknown,no
25,blue-collar,single,secondary,no,-350.0,yes,no,unknown,23,jun,95,3,-1,0,unknown,no
38,technician,married,tertiary,no,432.0,yes,no,cellular,15,may,10,2,373,1,other,no
57,self-employed,married,secondary,no,11494.0,no,no,cellular,19,nov,198,1,-1,0,unknown,no
31,management,married,tertiary,yes,-253.0,no,no,cellular,12,aug,220,4,-1,0,unknown,no
42,management,married,tertiary,no,372.0,yes,no,cellular,3,aug,654,2,-1,0,unknown,yes
45,technician,married,secondary,no,1410.0,no,no,cellular,11,aug,71,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,975.0,yes,no,cellular,13,may,256,2,351,2,failure,no
49,blue-collar,married,primary,no,305.0,yes,yes,telephone,10,jul,834,10,-1,0,unknown,no
49,services,married,secondary,no,400.0,no,no,cellular,21,aug,151,3,-1,0,unknown,no
53,retired,married,tertiary,no,-22.0,yes,no,cellular,31,jul,20,3,-1,0,unknown,no
37,technician,married,secondary,no,4030.0,yes,no,unknown,26,may,178,5,-1,0,unknown,no
49,blue-collar,married,primary,no,365.0,no,no,unknown,26,may,59,2,-1,0,unknown,no
41,self-employed,married,primary,no,204.0,no,no,cellular,13,aug,111,7,-1,0,unknown,no
54,management,married,primary,no,1691.0,yes,no,cellular,20,nov,186,1,-1,0,unknown,no
32,services,single,secondary,no,406.0,yes,no,unknown,6,may,227,1,-1,0,unknown,no
33,technician,married,secondary,no,-204.0,no,no,cellular,15,may,297,3,-1,0,unknown,no
33,technician,married,secondary,no,359.0,yes,no,cellular,20,apr,210,1,242,1,other,no
36,blue-collar,married,primary,no,123.0,yes,no,cellular,18,may,9,1,-1,0,unknown,no
35,technician,married,tertiary,no,0.0,yes,yes,cellular,23,sep,112,1,62,6,other,no
52,unknown,married,secondary,no,142.0,no,no,cellular,25,aug,112,6,-1,0,unknown,no
40,entrepreneur,married,tertiary,no,,no,no,unknown,9,jun,222,3,-1,0,unknown,no
44,technician,single,secondary,no,33.0,yes,no,cellular,13,may,195,3,351,10,failure,no
45,blue-collar,single,secondary,no,0.0,yes,no,cellular,26,jul,768,2,91,5,success,no
30,student,single,secondary,no,3096.0,no,no,cellular,26,jan,123,1,-1,0,unknown,no
48,technician,divorced,secondary,yes,20.0,no,no,cellular,27,aug,145,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,3576.0,yes,no,cellular,2,apr,124,1,308,2,other,no
57,technician,married,unknown,no,206.0,yes,no,unknown,5,may,216,3,-1,0,unknown,no
57,housemaid,married,primary,no,7082.0,no,no,unknown,6,jun,69,3,-1,0,unknown,no
51,unemployed,married,tertiary,no,1634.0,yes,no,cellular,22,jul,168,4,-1,0,unknown,no
34,admin.,single,secondary,no,1.0,yes,no,cellular,22,jul,483,7,-1,0,unknown,no
50,self-employed,married,tertiary,no,4012.0,no,no,cellular,19,nov,690,3,-1,0,unknown,no
44,management,married,tertiary,no,3762.0,no,no,cellular,28,aug,125,12,-1,0,unknown,no
27,admin.,married,secondary,no,-247.0,yes,yes,unknown,4,jun,344,2,-1,0,unknown,no
50,blue-collar,married,secondary,no,606.0,yes,no,unknown,14,may,673,2,-1,0,unknown,no
36,management,married,tertiary,no,0.0,yes,no,cellular,28,jan,60,1,250,1,other,no
42,management,married,secondary,no,-189.0,yes,no,unknown,12,may,247,2,-1,0,unknown,no
32,unemployed,single,secondary,no,0.0,no,no,cellular,27,may,123,2,-1,0,unknown,no
42,management,married,tertiary,no,484.0,yes,no,cellular,11,jul,144,2,-1,0,unknown,no
43,technician,married,secondary,no,0.0,no,yes,cellular,8,may,9,2,172,5,failure,no
31,management,married,tertiary,no,395.0,yes,no,cellular,9,feb,155,3,-1,0,unknown,no
32,management,married,tertiary,no,2349.0,no,no,cellular,14,aug,134,5,-1,0,unknown,no
55,blue-collar,divorced,primary,no,410.0,no,yes,cellular,11,jul,221,2,-1,0,unknown,no
58,retired,married,primary,no,3401.0,yes,no,cellular,3,feb,84,3,265,2,failure,no
46,blue-collar,married,primary,no,222.0,no,no,cellular,8,aug,71,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,989.0,yes,yes,unknown,23,may,246,4,-1,0,unknown,no
34,management,married,tertiary,no,415.0,no,yes,cellular,23,jul,361,2,-1,0,unknown,no
28,unemployed,single,secondary,no,16.0,no,no,cellular,12,aug,119,4,-1,0,unknown,no
42,technician,divorced,tertiary,no,7190.0,yes,no,cellular,29,jul,375,2,-1,0,unknown,no
29,blue-collar,single,secondary,no,482.0,no,yes,cellular,10,jul,1097,3,-1,0,unknown,yes
54,housemaid,married,secondary,no,209.0,yes,yes,cellular,25,jul,97,1,-1,0,unknown,no
32,technician,single,secondary,no,0.0,no,no,cellular,26,aug,181,2,-1,0,unknown,no
39,technician,single,tertiary,no,5803.0,no,no,cellular,2,feb,83,3,-1,0,unknown,no
53,entrepreneur,married,tertiary,no,624.0,no,yes,cellular,21,jul,180,4,-1,0,unknown,no
58,technician,married,tertiary,no,883.0,no,no,cellular,18,aug,543,1,78,2,failure,no
40,self-employed,married,secondary,no,1516.0,yes,yes,unknown,23,may,373,1,-1,0,unknown,no
29,student,single,secondary,no,872.0,yes,no,unknown,7,may,230,1,-1,0,unknown,no
33,technician,married,tertiary,no,-988.0,yes,yes,cellular,15,jul,83,3,-1,0,unknown,no
38,admin.,single,secondary,no,,yes,no,telephone,31,jul,58,13,-1,0,unknown,no
56,services,divorced,secondary,no,1007.0,no,no,cellular,29,jul,88,6,-1,0,unknown,no
40,services,married,secondary,no,0.0,yes,no,cellular,2,jun,297,1,28,3,failure,no
24,blue-collar,single,secondary,no,174.0,yes,yes,cellular,18,may,487,1,-1,0,unknown,yes
46,management,married,secondary,no,12186.0,no,no,unknown,20,jun,29,3,-1,0,unknown,no
35,self-employed,married,secondary,no,524.0,yes,no,cellular,21,nov,484,4,-1,0,unknown,no
35,blue-collar,single,tertiary,no,0.0,yes,no,cellular,21,jul,262,4,-1,0,unknown,no
34,technician,married,secondary,no,4.0,yes,no,unknown,15,may,644,1,-1,0,unknown,no
35,housemaid,married,tertiary,no,11219.0,no,no,cellular,12,aug,699,2,79,1,failure,no
38,technician,single,tertiary,no,0.0,no,no,cellular,28,aug,247,2,-1,0,unknown,no
50,blue-collar,married,primary,no,5776.0,no,no,cellular,18,nov,49,3,-1,0,unknown,no
51,blue-collar,divorced,primary,no,37.0,yes,no,cellular,13,may,341,1,-1,0,unknown,no
59,self-employed,married,tertiary,no,593.0,no,no,unknown,13,may,64,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,1148.0,yes,no,cellular,20,apr,121,1,-1,0,unknown,no
37,blue-collar,single,secondary,no,3561.0,yes,no,unknown,2,jun,98,1,-1,0,unknown,no
42,admin.,divorced,secondary,no,63.0,no,no,unknown,16,may,88,6,-1,0,unknown,no
40,student,married,secondary,no,260.0,no,no,unknown,20,jun,197,6,-1,0,unknown,no
28,technician,single,tertiary,no,2269.0,yes,no,unknown,9,may,331,1,-1,0,unknown,no
47,admin.,married,secondary,no,1060.0,yes,no,unknown,6,jun,83,3,-1,0,unknown,no
27,self-employed,married,secondary,no,-220.0,yes,no,unknown,26,may,138,2,-1,0,unknown,no
41,management,married,tertiary,no,49.0,yes,no,cellular,17,jul,312,5,-1,0,unknown,no
34,admin.,married,tertiary,no,69.0,no,yes,cellular,4,aug,120,3,1,6,success,yes
50,blue-collar,married,primary,no,4108.0,yes,no,cellular,7,aug,526,2,-1,0,unknown,yes
47,blue-collar,married,secondary,no,480.0,yes,no,unknown,28,may,211,2,-1,0,unknown,no
53,services,married,secondary,no,,no,no,cellular,18,aug,62,6,-1,0,unknown,no
53,technician,divorced,secondary,no,0.0,yes,yes,cellular,15,jul,135,5,-1,0,unknown,no
47,management,married,tertiary,no,3681.0,no,no,cellular,14,aug,101,2,-1,0,unknown,no
49,entrepreneur,divorced,unknown,yes,-701.0,yes,no,cellular,30,jul,988,2,-1,0,unknown,yes
29,management,married,tertiary,no,451.0,no,no,cellular,28,jan,451,1,-1,0,unknown,no
