Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,No,Travel_Rarely,548,1,2,Male,66,3,2,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9
36,No,Travel_Rarely,132,6,2,Female,55,4,1,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0
31,No,Travel_Rarely,746,8,3,Female,61,3,2,4,Single,4424,1,No,23,4,4,0,11,2,3,11,7,1,8
35,No,Travel_Rarely,776,1,3,Male,32,2,2,1,Single,4312,0,No,14,3,2,0,16,2,3,15,13,2,8
45,No,Travel_Rarely,193,6,4,Male,52,3,3,1,Married,13245,4,Yes,14,3,2,0,17,3,4,0,0,0,0
37,No,Travel_Rarely,397,7,1,Male,30,3,3,3,Single,13664,4,No,13,3,1,0,16,3,4,5,2,0,2
46,No,Travel_Rarely,945,5,2,Male,80,3,2,2,Divorced,5021,8,Yes,22,4,4,1,16,2,3,4,2,0,2
30,No,Travel_Rarely,852,1,4,Male,55,2,2,4,Married,5126,1,Yes,12,3,3,2,10,1,2,10,8,3,0
35,No,Travel_Rarely,1214,1,2,Male,30,2,1,3,Single,2859,1,No,18,3,1,0,6,3,3,6,4,0,4
55,No,Travel_Rarely,111,1,1,Male,70,3,3,4,Married,10239,3,No,14,3,4,1,24,4,3,1,0,1,0
38,No,Non-Travel,573,6,2,Female,79,1,2,4,Divorced,5329,7,Yes,12,3,4,3,17,3,3,13,11,1,9
34,No,Travel_Rarely,1153,1,1,Male,94,3,2,2,Married,4325,1,No,15,3,3,0,5,2,3,5,2,1,3
56,No,Travel_Rarely,1400,7,4,Male,49,1,3,4,Single,7260,4,No,11,3,1,0,37,3,2,6,4,0,2
23,No,Travel_Rarely,541,2,3,Male,62,3,1,1,Divorced,2322,3,No,13,3,3,1,3,3,3,0,0,0,0
51,No,Travel_Rarely,432,9,4,Male,96,3,1,4,Married,2075,3,No,23,4,2,2,10,4,3,4,2,0,3
30,No,Travel_Rarely,288,2,3,Male,99,2,2,4,Married,4152,1,No,19,3,1,3,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,669,9,3,Male,64,2,3,4,Single,9619,1,No,16,3,4,0,9,3,3,9,8,4,7
40,No,Travel_Frequently,530,1,3,Male,78,2,4,2,Married,13503,1,No,22,4,4,1,22,3,2,22,3,11,11
51,No,Travel_Rarely,632,21,3,Male,71,3,2,4,Single,5441,0,Yes,22,4,4,0,11,2,1,10,7,1,0
30,No,Travel_Rarely,1334,4,3,Female,63,2,2,2,Divorced,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7
46,No,Travel_Frequently,638,1,3,Male,40,2,3,1,Married,10673,2,Yes,13,3,3,1,21,5,2,10,9,9,5
32,No,Travel_Rarely,1093,6,2,Male,87,3,2,3,Single,5010,1,No,16,3,1,0,12,0,3,11,8,5,7
54,No,Travel_Rarely,1217,2,1,Female,60,3,3,3,Married,13549,9,No,12,3,1,1,16,5,1,4,3,0,3
24,No,Travel_Rarely,1353,3,1,Female,33,3,2,3,Married,4999,0,No,21,4,1,1,4,2,2,3,2,0,2
28,No,Non-Travel,120,4,2,Male,43,3,2,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4
58,No,Travel_Rarely,682,10,4,Male,37,3,4,3,Single,13872,0,No,13,3,3,0,38,1,2,37,10,1,8
44,No,Non-Travel,489,23,2,Male,67,3,2,2,Married,2042,4,No,12,3,3,1,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,807,6,3,Male,63,3,1,1,Divorced,2073,4,Yes,22,4,4,0,7,3,3,3,2,0,2
32,No,Travel_Rarely,827,1,4,Male,71,3,1,1,Single,2956,1,No,13,3,4,0,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,871,6,4,Female,66,2,1,4,Single,2926,1,Yes,18,3,2,0,1,5,3,1,0,1,0
34,No,Travel_Rarely,665,6,1,Female,41,3,2,3,Single,4809,1,No,14,3,3,0,16,3,3,16,13,2,10
37,No,Non-Travel,1040,2,3,Male,100,2,2,4,Divorced,5163,5,No,14,3,4,1,17,2,4,1,0,0,0
59,No,Non-Travel,1420,2,3,Female,32,2,5,4,Married,18844,9,No,21,4,4,1,30,3,3,3,2,2,2
50,No,Travel_Frequently,1115,1,1,Female,73,3,5,2,Married,18172,3,Yes,19,3,1,0,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,240,5,3,Male,46,2,2,3,Single,5744,1,Yes,11,3,4,0,6,1,3,6,4,0,3
25,No,Travel_Rarely,1280,7,4,Male,64,2,1,4,Married,2889,1,No,11,3,3,2,2,2,3,2,2,2,1
22,No,Travel_Rarely,534,15,2,Female,59,3,1,4,Single,2871,1,No,15,3,3,0,1,5,3,0,0,0,0
51,No,Travel_Frequently,1456,1,1,Female,30,2,3,1,Single,7484,3,No,20,4,3,0,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,658,7,1,Male,66,1,2,3,Single,6074,1,Yes,24,4,4,0,9,3,3,9,7,0,6
54,No,Non-Travel,142,26,4,Female,30,4,4,4,Single,17328,2,Yes,12,3,3,0,23,3,3,5,3,4,4
24,No,Travel_Rarely,1127,18,2,Male,52,3,1,3,Married,2774,0,No,12,3,3,1,6,2,3,5,3,1,2
34,No,Travel_Rarely,1031,6,3,Female,45,2,2,2,Divorced,4505,6,No,15,3,3,1,12,3,3,1,0,0,0
37,No,Travel_Rarely,1189,3,3,Male,87,3,3,4,Single,7428,2,No,12,3,1,0,12,3,3,5,3,1,3
34,No,Travel_Rarely,1354,5,3,Female,45,2,3,1,Single,11631,2,No,12,3,4,0,14,6,3,11,10,5,8
36,No,Travel_Frequently,1467,11,2,Female,92,3,3,4,Married,9738,0,No,14,3,3,1,10,6,3,9,7,2,8
36,No,Travel_Rarely,922,3,1,Female,39,3,1,4,Divorced,2835,5,No,22,4,1,1,7,2,3,1,0,0,0
43,No,Travel_Frequently,394,26,3,Male,92,3,4,4,Married,16959,1,Yes,12,3,4,2,25,3,4,25,12,4,12
30,No,Travel_Frequently,1312,23,1,Male,96,1,1,3,Divorced,2613,1,No,25,4,3,3,10,2,2,10,7,0,9
33,No,Non-Travel,750,22,3,Male,95,3,2,2,Married,6146,0,No,13,3,1,1,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,441,14,2,Female,72,3,1,2,Married,4963,9,Yes,18,3,1,3,7,2,3,5,4,4,3
51,No,Travel_Rarely,684,6,1,Male,51,3,5,3,Single,19537,7,No,13,3,3,0,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,249,6,2,Male,76,1,2,3,Married,6172,4,Yes,18,3,2,0,12,3,2,7,7,7,7
26,No,Travel_Rarely,841,6,3,Female,46,2,1,2,Married,2368,1,No,19,3,3,0,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,147,23,4,Female,94,3,3,4,Married,10312,1,No,12,3,4,1,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,528,22,4,Male,50,3,1,3,Single,1675,1,Yes,19,3,4,0,0,2,2,0,0,0,0
22,No,Travel_Rarely,594,2,3,Male,100,3,1,4,Married,2523,0,No,14,3,3,1,3,2,3,2,1,2,1
49,No,Travel_Rarely,470,20,3,Female,96,3,2,1,Married,6567,1,No,14,3,3,0,16,2,2,15,11,5,11
43,No,Travel_Frequently,957,28,2,Female,72,4,1,3,Single,4739,4,No,12,3,4,0,18,2,3,3,2,1,2
50,No,Travel_Frequently,809,12,3,Female,77,3,3,4,Single,9208,4,No,11,3,4,0,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,542,20,2,Female,71,1,2,3,Married,4559,3,Yes,11,3,3,1,4,2,3,2,2,2,2
41,No,Travel_Rarely,802,9,3,Male,96,3,3,3,Divorced,8189,3,Yes,13,3,3,1,12,2,3,9,7,0,7
26,No,Travel_Rarely,1355,25,3,Female,61,3,1,3,Married,2942,1,No,23,4,4,1,8,3,3,8,7,5,7
36,No,Travel_Rarely,216,6,2,Male,84,3,2,2,Divorced,4941,6,No,20,4,4,2,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,1150,8,1,Male,53,1,3,4,Single,10650,2,No,15,3,4,0,18,2,3,4,2,0,3
39,No,Travel_Rarely,1329,4,4,Female,47,2,2,3,Married,5902,4,No,14,3,3,1,17,1,4,15,11,5,9
25,No,Travel_Rarely,959,28,1,Male,41,2,2,3,Married,8639,2,No,18,3,4,0,6,3,3,2,2,2,2
30,No,Travel_Rarely,1240,9,3,Male,48,3,2,4,Married,6347,0,Yes,19,3,4,0,12,2,1,11,9,4,7
32,Yes,Travel_Rarely,1033,9,1,Female,41,3,1,1,Single,4200,7,No,22,4,1,0,10,2,4,5,4,0,4
45,No,Travel_Rarely,1316,29,3,Male,83,3,1,4,Single,3452,5,No,13,3,2,0,9,2,2,6,5,0,3
38,No,Travel_Rarely,364,3,4,Female,32,3,2,3,Single,4317,3,Yes,20,4,2,0,19,2,3,3,2,2,2
30,No,Travel_Rarely,438,18,1,Female,75,3,1,3,Single,2632,1,No,14,3,3,0,5,4,2,5,4,0,4
32,No,Travel_Frequently,689,9,4,Male,35,1,2,4,Divorced,4668,0,No,17,3,4,3,9,2,4,8,7,0,7
30,No,Travel_Rarely,201,5,4,Female,84,3,1,1,Divorced,3204,5,No,14,3,4,1,8,3,3,3,2,2,2
30,No,Travel_Rarely,1427,2,2,Male,35,2,1,4,Single,2720,0,No,13,3,4,0,6,3,3,5,3,1,2
41,No,Travel_Frequently,857,10,4,Male,91,2,4,1,Divorced,17181,4,No,13,3,2,1,21,2,2,7,6,7,7
41,No,Travel_Rarely,933,9,3,Male,94,3,1,1,Married,2238,2,No,21,4,4,1,7,2,3,5,0,1,4
19,No,Travel_Rarely,1181,3,2,Female,79,3,1,2,Single,1483,1,No,14,3,4,0,1,3,3,1,0,0,0
40,No,Travel_Frequently,1395,26,2,Female,54,3,2,2,Divorced,5605,1,No,11,3,1,1,20,2,3,20,7,2,13
35,No,Travel_Rarely,662,1,3,Male,94,3,3,2,Married,7295,1,No,13,3,1,2,10,3,3,10,8,0,6
53,No,Travel_Rarely,1436,6,2,Male,34,3,2,3,Married,2306,2,Yes,20,4,4,1,13,3,1,7,7,4,5
45,No,Travel_Rarely,194,9,2,Male,60,3,2,2,Divorced,2348,8,No,18,3,3,1,20,2,1,17,9,0,15
32,No,Travel_Frequently,967,8,2,Female,43,3,3,4,Single,8998,1,No,14,3,4,0,9,2,3,9,8,3,7
29,No,Non-Travel,1496,1,4,Male,41,3,2,3,Married,4319,1,No,13,3,1,1,10,1,3,10,7,0,9
51,No,Travel_Rarely,1169,7,2,Male,34,2,2,3,Married,6132,2,No,17,3,3,0,10,2,3,1,0,0,0
58,No,Travel_Rarely,1145,9,2,Female,75,2,1,2,Married,3346,4,Yes,20,4,2,1,9,3,2,1,0,0,0
40,No,Travel_Rarely,630,4,3,Male,67,2,3,4,Married,10855,7,No,11,3,1,1,15,2,2,12,11,2,11
34,No,Travel_Frequently,303,2,3,Female,75,3,1,3,Married,2231,6,No,18,3,4,1,6,3,3,4,3,1,2
22,No,Travel_Rarely,1256,19,3,Male,80,3,1,4,Married,2323,1,No,24,4,1,2,2,6,3,2,2,2,2
27,No,Non-Travel,691,9,4,Male,57,3,1,2,Divorced,2024,6,No,18,3,4,1,6,1,1,2,2,2,2
28,No,Travel_Rarely,440,21,3,Male,42,3,1,4,Married,2713,1,No,11,3,3,1,5,2,1,5,2,0,2
57,No,Travel_Rarely,334,24,3,Male,83,4,3,4,Divorced,9439,3,Yes,16,3,2,1,12,2,1,5,3,1,4
27,No,Non-Travel,1450,3,3,Male,79,2,1,3,Divorced,2566,1,Yes,15,3,4,1,1,2,2,1,1,0,1
50,No,Travel_Rarely,1452,11,3,Female,53,3,5,2,Single,19926,3,No,15,3,2,0,21,5,3,5,4,4,4
41,No,Travel_Rarely,465,14,1,Male,56,3,1,3,Divorced,2451,4,No,12,3,1,1,13,2,3,9,8,1,8
30,No,Travel_Rarely,1339,5,2,Female,41,3,3,4,Married,9419,2,No,12,3,3,1,12,2,3,10,9,7,4
38,No,Travel_Rarely,702,1,1,Female,59,2,2,4,Single,8686,4,No,22,4,3,0,12,2,4,8,3,0,7
32,No,Travel_Rarely,120,6,3,Male,43,3,1,3,Single,3038,3,No,20,4,1,0,8,2,3,5,4,1,4
27,No,Travel_Rarely,1157,17,3,Male,51,3,1,2,Married,3058,0,Yes,16,3,4,1,6,3,2,5,2,1,1
19,Yes,Travel_Frequently,602,1,3,Female,100,1,1,1,Single,2325,0,No,21,4,1,0,1,5,4,0,0,0,0
36,No,Travel_Frequently,1480,3,4,Male,30,3,1,2,Single,2088,4,No,12,3,3,0,13,3,2,8,7,7,2
30,No,Non-Travel,111,9,3,Male,66,3,2,1,Divorced,3072,1,No,11,3,3,2,12,4,3,12,9,6,10
45,No,Travel_Rarely,1268,4,3,Female,30,3,2,1,Divorced,5006,4,Yes,11,3,1,1,9,3,4,5,4,0,3
56,No,Travel_Rarely,713,8,3,Female,67,3,1,1,Divorced,4257,4,Yes,18,3,3,1,19,3,3,2,2,2,2
33,No,Travel_Rarely,134,2,3,Male,90,3,1,4,Single,2500,0,No,14,3,1,0,4,2,4,3,1,0,2
19,Yes,Travel_Rarely,303,2,2,Male,47,2,1,4,Single,1102,1,No,22,4,3,0,1,3,2,1,0,1,0
46,No,Travel_Rarely,526,1,2,Female,92,3,3,1,Divorced,10453,1,No,25,4,3,3,24,2,3,24,13,15,7
38,No,Travel_Rarely,1380,9,3,Female,75,3,1,4,Single,2288,1,No,12,3,3,0,2,3,3,2,2,2,1
31,No,Travel_Rarely,140,12,3,Female,95,3,1,4,Married,3929,8,Yes,23,4,3,1,7,0,3,4,2,0,2
34,No,Travel_Rarely,629,27,4,Female,95,3,1,2,Single,2311,2,No,15,3,4,0,9,3,3,3,2,1,2
41,Yes,Travel_Rarely,1356,20,2,Female,70,3,1,2,Single,3140,1,Yes,22,4,4,0,4,5,2,4,3,0,2
50,No,Travel_Rarely,328,1,3,Male,86,2,1,3,Married,3690,2,No,15,3,4,1,5,2,2,3,2,0,2
53,No,Travel_Rarely,1084,13,4,Female,57,4,2,1,Divorced,4450,1,No,11,3,3,2,5,3,3,4,2,1,3
33,No,Travel_Rarely,931,14,4,Female,72,3,1,2,Married,2756,1,No,13,3,4,1,8,5,3,8,7,1,6
40,No,Travel_Rarely,989,4,4,Female,46,3,5,3,Married,19033,1,No,14,3,2,1,21,2,3,20,8,9,9
55,No,Travel_Rarely,692,14,3,Male,61,4,5,2,Single,18722,8,No,11,3,4,0,36,3,3,24,15,2,15
34,No,Travel_Frequently,1069,2,4,Male,45,2,2,3,Married,9547,1,No,17,3,3,0,10,2,2,10,9,1,9
51,No,Travel_Rarely,313,3,4,Female,98,3,4,2,Single,13734,3,No,18,3,3,0,21,6,3,7,7,1,0
52,No,Travel_Rarely,699,1,3,Male,65,2,5,3,Married,19999,0,No,14,3,1,1,34,5,3,33,18,11,9
27,No,Travel_Rarely,894,9,4,Female,99,3,1,2,Single,2279,1,No,16,3,4,0,7,2,2,7,7,0,3
35,Yes,Travel_Rarely,556,23,2,Male,50,2,2,3,Married,5916,3,Yes,13,3,1,0,8,1,3,1,0,0,1
43,No,Non-Travel,1344,7,4,Male,37,4,1,4,Divorced,2089,4,No,14,3,4,3,7,3,4,5,4,2,2
45,No,Non-Travel,1195,2,1,Male,65,2,4,4,Married,16792,9,No,23,4,4,1,22,1,3,20,8,11,8
37,No,Travel_Rarely,290,21,2,Male,65,4,1,1,Married,3564,1,Yes,12,3,1,1,8,3,2,8,7,1,7
35,No,Travel_Frequently,138,2,2,Female,37,3,2,2,Single,4425,5,No,11,3,4,0,10,5,3,6,2,1,2
42,No,Non-Travel,926,21,3,Female,36,3,2,3,Divorced,5265,2,No,16,3,2,1,11,5,3,5,3,0,2
38,No,Travel_Rarely,1261,2,4,Male,88,3,2,3,Married,6553,9,No,14,3,2,0,14,3,3,1,0,0,0
38,No,Travel_Rarely,1084,29,4,Male,54,3,2,4,Married,6261,3,No,18,3,1,1,9,3,1,7,7,1,7
27,No,Travel_Frequently,472,1,3,Male,60,2,2,1,Married,4298,5,No,19,3,3,1,6,1,3,2,2,2,0
49,No,Non-Travel,1002,18,4,Male,92,3,2,4,Divorced,6804,1,Yes,15,3,1,2,7,0,3,7,7,1,7
34,No,Travel_Frequently,878,10,4,Male,43,3,1,3,Divorced,3815,1,Yes,17,3,4,1,5,4,4,5,3,2,0
40,No,Travel_Rarely,905,19,3,Male,99,3,2,4,Married,2741,8,Yes,15,3,3,1,15,2,4,7,2,3,7
38,Yes,Travel_Rarely,1180,29,2,Male,70,3,2,1,Married,6673,7,Yes,19,3,2,0,17,2,3,1,0,0,0
29,Yes,Travel_Rarely,121,27,2,Female,35,3,3,4,Married,7639,1,No,22,4,4,3,10,3,2,10,4,1,9
22,No,Travel_Rarely,1136,5,4,Male,60,4,1,2,Divorced,2328,1,Yes,16,3,1,1,4,2,2,4,2,2,2
36,No,Travel_Frequently,635,18,2,Female,73,3,1,4,Single,2153,1,No,13,3,1,0,8,2,3,8,1,1,7
40,No,Non-Travel,1151,9,4,Male,63,2,2,4,Married,4876,9,No,14,3,4,1,5,5,1,3,2,0,2
46,No,Travel_Rarely,644,1,4,Male,97,3,3,1,Divorced,9396,7,No,16,3,3,1,17,3,3,4,2,0,3
32,Yes,Travel_Rarely,1045,4,4,Male,32,1,3,4,Married,10400,1,No,11,3,3,0,14,2,2,14,8,9,8
30,No,Non-Travel,829,1,3,Male,88,2,3,3,Single,8474,1,No,22,4,3,0,12,2,3,11,8,5,8
27,No,Travel_Frequently,1242,20,4,Female,90,3,2,3,Single,9981,1,No,14,3,4,0,7,2,3,7,7,0,7
