index,age,job,marital_status,education,has_credit_default,account_balance,has_housing_loan,has_personal_loan,contact_type,day_of_month,month,last_contact_duration,num_contacts_campaign,days_since_prev_campaign,num_contacts_previous,poutcome
2443,29,technician,single,tertiary,no,218.0,yes,no,cellular,12,apr,169,1,-1,0,unknown
1744,27,services,single,secondary,no,795.0,no,no,cellular,6,feb,101,3,-1,0,unknown
4150,33,technician,married,tertiary,no,8023.0,no,no,cellular,25,feb,196,1,87,4,failure
2494,47,admin.,divorced,secondary,no,136.0,no,yes,cellular,23,jul,70,1,-1,0,unknown
2183,46,blue-collar,married,primary,no,174.0,no,yes,cellular,15,jul,90,1,-1,0,unknown
4501,34,management,married,tertiary,no,297.0,yes,no,cellular,26,aug,63,4,-1,0,unknown
478,35,services,married,secondary,no,1453.0,yes,no,unknown,28,may,199,1,-1,0,unknown
389,35,services,married,secondary,no,109.0,yes,no,unknown,6,may,597,3,-1,0,unknown
4163,29,services,single,unknown,no,33.0,no,no,unknown,1,jul,161,1,-1,0,unknown
1245,45,admin.,single,secondary,no,0.0,yes,no,cellular,8,may,38,1,-1,0,unknown
2782,41,technician,married,secondary,no,64.0,yes,yes,unknown,8,may,210,2,-1,0,unknown
4260,50,housemaid,single,unknown,no,0.0,no,no,telephone,28,jul,118,8,-1,0,unknown
447,66,retired,married,tertiary,no,2262.0,no,no,cellular,22,apr,155,1,-1,0,unknown
2468,28,admin.,single,secondary,no,1323.0,yes,no,unknown,3,jun,361,1,-1,0,unknown
1228,33,admin.,married,secondary,no,4902.0,yes,no,cellular,20,nov,110,1,-1,0,unknown
1711,32,technician,single,tertiary,no,2185.0,no,no,cellular,20,nov,354,2,-1,0,unknown
72,31,management,single,tertiary,no,6248.0,yes,no,unknown,9,may,154,2,-1,0,unknown
1430,34,blue-collar,married,secondary,no,-563.0,yes,no,unknown,26,may,252,1,-1,0,unknown
1721,60,retired,married,secondary,no,262.0,no,no,cellular,18,aug,393,4,-1,0,unknown
3626,34,technician,married,secondary,no,,yes,yes,cellular,4,jun,153,1,309,3,other
4228,36,blue-collar,married,secondary,no,-206.0,yes,no,unknown,8,may,177,2,-1,0,unknown
1083,64,housemaid,married,primary,no,768.0,no,no,cellular,15,jul,250,2,182,1,success
147,48,technician,married,secondary,no,1152.0,yes,no,cellular,21,jul,168,5,-1,0,unknown
3981,43,blue-collar,single,secondary,no,24.0,no,no,cellular,12,may,68,1,363,1,failure
4318,32,blue-collar,married,secondary,no,-32.0,yes,no,cellular,12,may,145,1,-1,0,unknown
888,43,blue-collar,married,primary,no,757.0,yes,no,unknown,9,may,315,4,-1,0,unknown
1743,51,self-employed,married,secondary,yes,34.0,no,yes,cellular,7,jul,200,1,-1,0,unknown
3206,60,housemaid,married,primary,no,0.0,no,yes,telephone,22,jul,124,1,-1,0,unknown
4043,39,services,divorced,secondary,no,282.0,yes,no,cellular,17,jul,243,1,-1,0,unknown
51,37,technician,single,secondary,no,228.0,yes,no,cellular,20,aug,1740,2,-1,0,unknown
4374,45,services,divorced,primary,no,3854.0,yes,no,unknown,20,jun,10,3,-1,0,unknown
2061,31,services,married,secondary,no,,yes,no,unknown,23,may,203,5,-1,0,unknown
3332,31,management,married,tertiary,no,22546.0,yes,no,cellular,14,may,8,6,267,4,failure
3956,44,self-employed,single,tertiary,no,2734.0,yes,no,cellular,12,may,897,4,-1,0,unknown
3344,30,blue-collar,single,primary,no,395.0,no,no,cellular,21,nov,429,1,-1,0,unknown
4015,36,technician,married,secondary,no,5902.0,yes,no,unknown,23,may,219,4,-1,0,unknown
359,26,student,single,secondary,no,2572.0,yes,no,cellular,5,may,620,1,-1,0,unknown
3560,31,blue-collar,married,secondary,no,1545.0,yes,yes,cellular,13,may,207,1,-1,0,unknown
1737,59,housemaid,married,secondary,no,345.0,no,no,unknown,9,jun,38,1,-1,0,unknown
1860,48,management,married,secondary,no,99.0,yes,no,unknown,28,may,344,1,-1,0,unknown
983,37,technician,divorced,secondary,no,79.0,no,no,cellular,21,jul,191,1,-1,0,unknown
1668,28,unemployed,married,secondary,no,655.0,yes,no,unknown,4,jun,606,2,-1,0,unknown
1934,27,technician,single,secondary,no,489.0,yes,no,cellular,30,jul,356,4,-1,0,unknown
1507,40,management,married,tertiary,no,-7.0,no,yes,telephone,25,jul,697,1,-1,0,unknown
999,20,student,single,secondary,no,291.0,no,no,telephone,11,may,172,5,371,5,failure
1290,34,blue-collar,married,primary,no,,yes,no,cellular,14,may,406,2,-1,0,unknown
692,33,blue-collar,single,primary,no,599.0,yes,no,unknown,21,may,29,1,-1,0,unknown
2424,47,management,married,tertiary,no,1890.0,no,no,cellular,8,jul,161,1,-1,0,unknown
1232,36,technician,single,secondary,no,1521.0,yes,no,unknown,16,jun,243,2,-1,0,unknown
2258,70,retired,married,primary,no,3782.0,no,no,cellular,16,mar,618,1,-1,0,unknown
1112,35,technician,married,secondary,no,2789.0,yes,no,cellular,4,sep,256,2,94,1,failure
970,58,self-employed,married,primary,no,1013.0,yes,no,cellular,11,aug,206,1,461,1,failure
838,31,technician,single,tertiary,no,454.0,no,no,cellular,4,feb,73,3,-1,0,unknown
4390,40,blue-collar,married,secondary,no,4795.0,yes,no,cellular,17,apr,57,1,-1,0,unknown
1800,44,entrepreneur,married,tertiary,no,0.0,yes,no,unknown,9,jul,300,1,-1,0,unknown
3780,26,management,single,tertiary,no,170.0,no,no,cellular,15,jun,129,1,-1,0,unknown
2235,46,management,single,tertiary,no,46.0,no,yes,cellular,17,nov,80,1,152,1,failure
772,26,management,single,tertiary,no,350.0,no,no,cellular,8,jul,367,1,-1,0,unknown
790,34,management,single,tertiary,no,4348.0,yes,no,cellular,28,aug,373,8,-1,0,unknown
1402,48,management,divorced,tertiary,no,,yes,no,cellular,9,apr,528,1,-1,0,unknown
517,36,blue-collar,married,primary,no,1925.0,yes,no,cellular,20,apr,904,2,-1,0,unknown
1796,34,management,married,secondary,no,15.0,no,no,cellular,25,aug,184,7,-1,0,unknown
879,28,technician,single,tertiary,no,183.0,yes,yes,unknown,28,may,62,2,-1,0,unknown
3735,43,unemployed,married,tertiary,no,58.0,yes,no,cellular,9,feb,48,4,-1,0,unknown
2849,40,self-employed,married,secondary,no,167.0,yes,yes,cellular,8,may,380,4,295,1,failure
1328,26,management,single,tertiary,no,205.0,no,no,unknown,26,may,111,1,-1,0,unknown
3823,35,admin.,married,secondary,no,0.0,no,no,unknown,7,may,326,1,-1,0,unknown
1206,61,management,married,tertiary,no,6016.0,no,no,cellular,2,feb,670,3,-1,0,unknown
3525,31,admin.,single,secondary,no,68.0,yes,no,cellular,16,apr,570,2,-1,0,unknown
1985,29,student,single,unknown,no,145.0,no,no,cellular,14,aug,105,1,-1,0,unknown
616,28,management,single,tertiary,no,231.0,yes,yes,cellular,25,jul,568,2,-1,0,unknown
299,32,blue-collar,married,secondary,no,759.0,yes,no,cellular,9,apr,317,5,-1,0,unknown
333,32,services,married,primary,no,228.0,yes,no,cellular,21,jul,1017,6,-1,0,unknown
2275,45,management,married,tertiary,no,-206.0,yes,no,cellular,6,may,337,2,-1,0,unknown
4049,40,services,married,secondary,no,9374.0,yes,no,cellular,21,nov,7,8,185,1,failure
3287,30,admin.,single,secondary,no,127.0,yes,no,cellular,18,may,16,6,368,1,other
2705,41,blue-collar,single,secondary,no,75.0,yes,no,unknown,1,jul,479,9,-1,0,unknown
3903,56,blue-collar,married,primary,no,420.0,yes,no,unknown,9,may,76,1,-1,0,unknown
3373,28,admin.,single,tertiary,no,14.0,no,no,cellular,1,jun,201,1,-1,0,unknown
3071,34,technician,single,secondary,no,347.0,yes,no,cellular,6,feb,154,2,197,6,failure
1939,45,technician,married,secondary,no,315.0,yes,no,cellular,30,jun,103,1,-1,0,unknown
4491,35,blue-collar,single,secondary,no,0.0,yes,no,cellular,16,apr,169,1,-1,0,unknown
2103,39,services,married,secondary,no,1970.0,yes,no,unknown,8,jun,30,1,404,2,success
4246,32,services,single,secondary,no,0.0,yes,no,cellular,31,jul,99,13,-1,0,unknown
267,33,technician,married,tertiary,no,-988.0,yes,yes,cellular,15,jul,83,3,-1,0,unknown
3056,23,services,single,secondary,no,500.0,yes,no,unknown,4,jun,111,3,-1,0,unknown
1079,50,admin.,divorced,secondary,no,202.0,no,yes,cellular,17,nov,148,1,-1,0,unknown
3573,43,blue-collar,divorced,primary,no,328.0,no,yes,cellular,8,jul,192,1,-1,0,unknown
85,51,blue-collar,married,primary,no,1466.0,yes,no,unknown,7,may,406,2,-1,0,unknown
3883,57,admin.,married,secondary,no,169.0,no,no,cellular,14,aug,180,1,106,2,failure
2401,31,management,married,tertiary,no,1750.0,yes,no,telephone,14,may,90,3,-1,0,unknown
1133,26,services,single,secondary,no,127.0,yes,yes,cellular,23,jul,85,3,-1,0,unknown
1075,26,unemployed,married,tertiary,no,454.0,yes,yes,unknown,23,may,28,18,-1,0,unknown
3686,41,admin.,married,secondary,no,4539.0,no,no,unknown,30,may,298,3,-1,0,unknown
362,50,housemaid,married,primary,no,395.0,yes,no,unknown,15,may,419,2,-1,0,unknown
303,35,blue-collar,married,secondary,no,1287.0,yes,no,cellular,14,jul,330,2,-1,0,unknown
625,36,technician,married,secondary,no,146.0,yes,yes,unknown,15,may,284,2,-1,0,unknown
782,37,management,married,tertiary,no,865.0,yes,no,cellular,3,jun,101,1,-1,0,unknown
2528,33,blue-collar,married,secondary,no,745.0,yes,no,unknown,23,may,115,4,-1,0,unknown
2003,46,admin.,married,secondary,no,-121.0,yes,yes,cellular,8,jul,214,4,-1,0,unknown
2835,37,management,married,tertiary,no,489.0,yes,no,cellular,7,aug,205,5,-1,0,unknown
4167,46,blue-collar,married,primary,no,0.0,yes,no,unknown,12,may,51,9,-1,0,unknown
2379,42,blue-collar,divorced,secondary,no,1491.0,yes,no,cellular,6,may,203,2,334,2,failure
4500,38,admin.,married,secondary,no,4196.0,yes,no,cellular,12,may,193,2,-1,0,unknown
1607,47,management,divorced,tertiary,no,1149.0,no,yes,cellular,15,jul,82,2,-1,0,unknown
3832,47,technician,married,secondary,no,-938.0,yes,no,unknown,28,may,176,2,-1,0,unknown
2624,53,entrepreneur,married,tertiary,no,22370.0,yes,no,unknown,15,may,106,1,-1,0,unknown
4428,48,blue-collar,married,unknown,no,439.0,yes,no,cellular,2,feb,212,1,249,2,other
2125,52,technician,married,secondary,no,3554.0,no,yes,cellular,8,jul,89,1,-1,0,unknown
1971,32,management,married,secondary,no,6217.0,yes,yes,unknown,21,may,486,2,-1,0,unknown
2736,54,unknown,married,secondary,no,1157.0,no,no,cellular,26,may,98,2,-1,0,unknown
2775,37,blue-collar,married,secondary,no,685.0,yes,no,unknown,6,jun,968,1,-1,0,unknown
1131,32,admin.,single,secondary,no,2817.0,yes,no,cellular,21,nov,195,1,-1,0,unknown
1087,47,self-employed,married,tertiary,no,751.0,no,no,cellular,24,jul,408,14,-1,0,unknown
2875,29,technician,single,secondary,no,778.0,yes,no,unknown,6,jun,1994,2,-1,0,unknown
1786,37,services,single,secondary,no,1175.0,yes,no,cellular,15,may,102,1,333,2,failure
552,63,retired,married,secondary,no,2747.0,no,no,cellular,11,sep,113,1,80,1,failure
2732,45,technician,married,primary,no,-322.0,no,no,unknown,9,jun,225,2,-1,0,unknown
1538,50,blue-collar,divorced,secondary,no,203.0,yes,no,telephone,19,nov,265,1,127,4,other
2137,59,blue-collar,married,primary,no,0.0,no,no,cellular,18,nov,167,2,-1,0,unknown
2281,58,retired,married,secondary,no,983.0,no,no,cellular,5,aug,139,1,-1,0,unknown
3474,36,admin.,married,secondary,no,4280.0,no,no,unknown,19,jun,227,6,-1,0,unknown
1269,27,technician,single,secondary,no,158.0,no,no,unknown,1,jul,650,2,-1,0,unknown
3580,38,entrepreneur,married,tertiary,no,6704.0,yes,no,unknown,21,may,205,2,-1,0,unknown
577,38,management,married,tertiary,no,-558.0,yes,no,cellular,21,jul,533,1,-1,0,unknown
3342,42,unemployed,married,secondary,no,8131.0,yes,no,unknown,30,may,69,1,-1,0,unknown
3245,39,admin.,single,tertiary,no,2600.0,yes,no,unknown,17,jun,77,1,-1,0,unknown
3015,35,management,married,tertiary,no,0.0,no,no,cellular,11,jul,89,1,-1,0,unknown
1625,36,services,married,secondary,no,1746.0,yes,no,cellular,7,apr,15,1,316,1,failure
939,31,management,married,tertiary,no,8312.0,no,no,cellular,29,aug,43,13,-1,0,unknown
2979,56,technician,married,secondary,no,359.0,yes,no,unknown,6,jun,220,4,-1,0,unknown
2831,38,admin.,married,tertiary,no,1980.0,no,no,cellular,5,aug,176,2,-1,0,unknown
4396,41,retired,single,primary,no,0.0,no,no,cellular,8,may,239,1,368,2,failure
1278,54,blue-collar,married,secondary,no,-932.0,yes,no,unknown,7,may,799,1,-1,0,unknown
761,27,blue-collar,single,primary,no,1128.0,yes,no,unknown,30,jun,88,4,-1,0,unknown
3381,34,admin.,married,secondary,no,645.0,yes,no,unknown,19,may,420,1,-1,0,unknown
1194,36,management,married,secondary,no,1825.0,yes,no,cellular,14,may,24,1,346,1,failure
779,55,unknown,married,primary,no,159.0,no,no,unknown,4,sep,15,1,-1,0,unknown
2952,37,admin.,married,secondary,no,1123.0,no,yes,unknown,28,may,138,1,-1,0,unknown
2885,26,services,single,secondary,no,50.0,yes,no,cellular,12,aug,153,1,-1,0,unknown
3112,35,management,married,secondary,no,1160.0,yes,no,unknown,27,may,116,3,-1,0,unknown
4097,46,technician,married,secondary,no,410.0,no,yes,cellular,21,nov,162,5,-1,0,unknown
736,52,technician,divorced,secondary,no,204.0,no,no,cellular,7,aug,134,2,-1,0,unknown
2611,33,blue-collar,single,secondary,no,-320.0,no,no,cellular,18,may,268,2,-1,0,unknown
3761,41,admin.,single,secondary,no,400.0,yes,no,unknown,4,jun,99,6,-1,0,unknown
931,41,admin.,married,secondary,no,2993.0,yes,no,cellular,22,jul,24,12,-1,0,unknown
3057,29,technician,married,tertiary,no,43.0,yes,no,unknown,20,may,68,2,-1,0,unknown
2427,39,technician,single,tertiary,no,1190.0,no,no,cellular,8,aug,136,1,-1,0,unknown
995,38,blue-collar,married,secondary,no,1370.0,yes,no,cellular,11,may,472,2,-1,0,unknown
1861,28,services,single,secondary,no,290.0,yes,no,cellular,18,may,128,1,-1,0,unknown
395,41,technician,married,secondary,no,288.0,yes,no,unknown,15,may,221,4,-1,0,unknown
3454,59,admin.,divorced,secondary,no,174.0,yes,no,unknown,16,may,204,1,-1,0,unknown
2090,48,blue-collar,married,secondary,no,0.0,yes,no,unknown,26,may,105,1,-1,0,unknown
2557,40,technician,divorced,secondary,no,-375.0,yes,no,cellular,13,may,60,5,-1,0,unknown
916,36,blue-collar,married,secondary,no,13.0,no,no,unknown,3,jun,284,1,-1,0,unknown
2792,32,blue-collar,married,secondary,no,478.0,yes,no,unknown,3,jun,200,1,-1,0,unknown
3984,44,services,single,secondary,no,1378.0,yes,no,unknown,8,may,257,2,-1,0,unknown
3451,50,management,single,primary,no,766.0,no,no,unknown,17,jun,174,2,-1,0,unknown
3519,54,technician,married,secondary,no,,no,no,telephone,14,aug,159,2,106,6,success
1661,45,admin.,single,secondary,no,-11.0,yes,no,cellular,5,may,247,1,-1,0,unknown
1176,50,management,married,tertiary,no,-470.0,yes,no,cellular,8,may,506,2,170,3,failure
2238,26,self-employed,married,tertiary,no,479.0,yes,no,cellular,9,feb,133,3,-1,0,unknown
3380,33,blue-collar,single,secondary,no,142.0,yes,no,cellular,14,may,123,1,360,3,other
1308,48,technician,married,tertiary,no,0.0,no,no,telephone,26,aug,176,15,-1,0,unknown
1358,41,technician,married,secondary,no,0.0,no,no,cellular,11,mar,101,1,-1,0,unknown
602,50,blue-collar,married,primary,no,12519.0,yes,no,cellular,17,apr,146,2,147,4,success
50,45,blue-collar,divorced,primary,no,844.0,no,no,unknown,5,jun,1018,3,-1,0,unknown
3130,57,unemployed,married,secondary,no,0.0,no,no,unknown,19,jun,97,1,-1,0,unknown
4513,49,blue-collar,married,secondary,no,322.0,no,no,cellular,14,aug,356,2,-1,0,unknown
3965,58,retired,married,primary,no,5092.0,no,no,unknown,11,jun,199,6,-1,0,unknown
2305,34,services,divorced,secondary,no,,yes,no,unknown,15,may,318,1,-1,0,unknown
496,50,housemaid,married,secondary,no,7317.0,yes,no,cellular,13,may,172,1,370,1,failure
1398,34,technician,single,secondary,no,341.0,no,yes,cellular,29,jan,136,1,262,3,failure
728,57,technician,married,secondary,no,3071.0,yes,yes,cellular,7,may,63,3,-1,0,unknown
2880,43,management,married,secondary,no,481.0,yes,no,telephone,18,nov,164,1,110,2,other
3870,49,blue-collar,single,primary,no,1040.0,no,no,cellular,8,jul,474,2,-1,0,unknown
3255,55,blue-collar,married,primary,no,284.0,no,yes,telephone,14,jul,252,4,-1,0,unknown
1536,32,technician,single,secondary,no,2979.0,no,no,cellular,25,may,156,1,-1,0,unknown
1193,33,blue-collar,single,secondary,no,706.0,yes,no,cellular,7,apr,329,1,322,1,failure
2057,51,technician,married,secondary,no,18.0,no,yes,cellular,25,jul,363,6,-1,0,unknown
187,37,services,single,secondary,no,21.0,yes,no,cellular,2,feb,96,1,271,2,other
1233,37,blue-collar,married,secondary,no,131.0,yes,no,unknown,9,may,137,2,-1,0,unknown
1719,48,management,married,secondary,no,4415.0,yes,no,cellular,8,apr,1032,3,141,7,failure
3551,42,management,married,secondary,no,2416.0,yes,no,unknown,20,may,138,4,-1,0,unknown
694,49,management,married,tertiary,no,1430.0,no,no,cellular,18,nov,231,2,-1,0,unknown
246,42,management,married,secondary,no,-189.0,yes,no,unknown,12,may,247,2,-1,0,unknown
3769,51,housemaid,married,primary,no,492.0,yes,no,unknown,20,may,142,3,-1,0,unknown
4321,58,blue-collar,married,secondary,no,-27.0,no,yes,telephone,31,jul,77,13,-1,0,unknown
1616,60,retired,married,primary,no,71.0,no,no,cellular,10,jul,121,3,-1,0,unknown
2544,56,admin.,divorced,primary,no,,no,yes,cellular,10,jul,542,1,-1,0,unknown
4051,69,retired,married,primary,no,279.0,no,no,telephone,12,aug,26,1,-1,0,unknown
2951,36,technician,married,secondary,no,55.0,yes,no,cellular,13,may,38,2,369,4,failure
4194,32,services,single,secondary,no,133.0,no,no,cellular,15,apr,171,1,-1,0,unknown
4378,59,housemaid,divorced,primary,no,195.0,no,no,unknown,5,may,366,2,-1,0,unknown
1672,47,services,single,unknown,no,1784.0,no,no,cellular,19,oct,385,2,-1,0,unknown
690,55,technician,single,secondary,no,3339.0,yes,no,unknown,2,jun,63,1,-1,0,unknown
112,32,self-employed,married,secondary,no,217.0,yes,yes,cellular,15,jul,317,5,-1,0,unknown
1456,36,admin.,married,secondary,no,-423.0,yes,yes,unknown,13,may,106,1,-1,0,unknown
1774,28,management,single,tertiary,no,781.0,no,no,cellular,9,apr,125,6,-1,0,unknown
1904,28,student,single,tertiary,no,0.0,no,no,cellular,28,sep,294,2,105,7,other
599,43,technician,divorced,secondary,no,1413.0,yes,no,telephone,28,jul,75,3,-1,0,unknown
1526,60,admin.,married,secondary,no,1025.0,no,no,cellular,6,aug,388,8,-1,0,unknown
3851,26,admin.,single,secondary,no,802.0,no,no,cellular,30,jan,77,1,2,2,other
1074,28,technician,divorced,tertiary,no,,yes,yes,unknown,18,jun,54,3,-1,0,unknown
950,44,technician,divorced,secondary,no,0.0,no,no,cellular,12,aug,56,2,-1,0,unknown
3632,35,student,single,unknown,no,0.0,no,no,telephone,28,jan,122,3,-1,0,unknown
2228,47,technician,married,secondary,no,3973.0,no,no,cellular,6,aug,732,2,-1,0,unknown
4339,53,blue-collar,married,primary,no,225.0,no,no,cellular,18,jul,171,7,-1,0,unknown
2505,56,management,divorced,tertiary,no,-59.0,no,yes,cellular,28,jul,127,6,-1,0,unknown
69,32,technician,single,tertiary,no,360.0,no,no,cellular,19,nov,164,2,-1,0,unknown
2730,52,self-employed,married,secondary,no,9.0,no,yes,unknown,6,jun,44,1,-1,0,unknown
2501,59,retired,married,secondary,no,9976.0,yes,no,unknown,29,may,57,2,-1,0,unknown
2964,41,blue-collar,married,primary,no,4.0,no,no,cellular,23,jul,74,5,-1,0,unknown
4190,32,blue-collar,married,secondary,no,150.0,no,no,cellular,5,feb,210,1,-1,0,unknown
1663,52,blue-collar,divorced,primary,no,-191.0,yes,no,unknown,15,may,755,1,-1,0,unknown
3264,36,management,single,tertiary,no,613.0,no,no,cellular,7,aug,86,2,-1,0,unknown
3694,44,management,married,secondary,yes,0.0,yes,no,cellular,11,jul,96,2,-1,0,unknown
