index,account_balance
2602,-589.0
755,739.0
4468,1.0
3956,2734.0
2474,1667.0
2411,0.0
3486,1987.0
4264,162.0
493,22.0
3862,49.0
3822,420.0
2440,0.0
1772,1253.0
1850,1295.0
1752,871.0
2503,540.0
1568,0.0
3077,128.0
2202,199.0
1565,728.0
1938,80.0
2592,0.0
3792,2.0
2068,1167.0
1983,105.0
1159,62.0
2304,139.0
3171,1199.0
3764,24.0
2425,2400.0
4062,109.0
2445,20.0
1335,1564.0
2596,4.0
754,1949.0
1536,2979.0
4434,175.0
4337,519.0
3470,0.0
2525,23.0
4366,0.0
4014,21515.0
3877,367.0
1035,1852.0
203,1315.0
2566,1387.0
2572,242.0
59,784.0
1714,0.0
107,483.0
3515,1206.0
3694,0.0
1505,124.0
675,64.0
1943,212.0
3256,495.0
655,0.0
686,7708.0
236,3576.0
3817,95.0
3644,2223.0
3832,-938.0
2335,490.0
2962,14220.0
2943,688.0
2045,318.0
1063,1165.0
4411,230.0
2548,41.0
3818,765.0
779,159.0
1042,81.0
124,-55.0
3442,5462.0
3373,14.0
155,308.0
4165,1881.0
4241,411.0
980,388.0
1129,243.0
263,624.0
3066,856.0
1897,87.0
4148,538.0
820,421.0
3126,2.0
3463,199.0
596,201.0
3693,846.0
26,627.0
982,1291.0
1340,127.0
1317,49.0
1646,2273.0
1868,-679.0
1516,242.0
2479,-136.0
1673,1281.0
2579,477.0
3472,1844.0
1903,197.0
1027,231.0
2384,62.0
988,525.0
2852,562.0
9,-88.0
3485,16874.0
1549,28.0
4364,1490.0
4046,3972.0
1041,2903.0
3643,998.0
3534,1544.0
289,69.0
3345,10787.0
3331,2240.0
400,4515.0
4489,6945.0
561,11555.0
2523,476.0
2286,790.0
3623,1209.0
834,1772.0
1464,1766.0
1092,599.0
816,77.0
1598,1499.0
897,1354.0
2820,1116.0
3815,623.0
806,629.0
1143,501.0
2338,596.0
94,14093.0
3115,585.0
732,3463.0
2687,1673.0
445,1222.0
3834,189.0
659,-117.0
3401,336.0
2764,2157.0
1122,4089.0
3356,500.0
4170,36.0
4115,126.0
3728,0.0
1995,-23.0
414,4380.0
4505,620.0
688,6483.0
1899,1361.0
245,0.0
4519,1137.0
751,3098.0
3948,-55.0
4109,177.0
247,0.0
3147,-9.0
2496,593.0
4195,868.0
4402,39.0
711,39.0
4405,463.0
699,0.0
2413,257.0
1786,1175.0
3575,307.0
420,1076.0
2988,2543.0
4514,1205.0
367,8436.0
4368,1012.0
3994,1956.0
2071,4760.0
2211,1598.0
804,-1212.0
2312,50.0
1896,0.0
2507,2613.0
2769,0.0
2494,136.0
84,1315.0
651,81.0
3448,319.0
4021,9328.0
1518,286.0
1554,1328.0
3950,14.0
4000,26.0
1152,0.0
2050,230.0
1637,1211.0
4259,48.0
710,67.0
1539,322.0
2967,1712.0
822,13669.0
640,887.0
1892,100.0
1136,1482.0
546,2.0
1737,345.0
2611,-320.0
995,1370.0
543,157.0
654,225.0
2268,-424.0
3876,1670.0
3195,6904.0
2422,7041.0
1920,1729.0
2805,634.0
2254,-471.0
4092,297.0
3839,2323.0
3746,-470.0
2817,648.0
1113,3897.0
1400,2.0
3704,199.0
2327,8238.0
1671,624.0
1660,108.0
1067,8262.0
1596,84.0
1949,226.0
3291,9207.0
2483,271.0
2635,616.0
4291,895.0
1909,75.0
985,543.0
1314,-583.0
2513,191.0
1878,1386.0
3412,72.0
3219,763.0
40,11971.0
2258,3782.0
1051,-388.0
4248,398.0
1618,8139.0
3120,187.0
325,6699.0
113,22.0
1417,0.0
1179,5106.0
3068,64.0
1285,386.0
2961,1787.0
717,10786.0
2590,0.0
3491,2306.0
1315,1784.0
4253,3161.0
2287,1449.0
1485,113.0
3200,3298.0
958,-51.0
1965,0.0
4300,0.0
169,1143.0
116,1808.0
218,305.0
4376,-10.0
2637,313.0
757,231.0
1382,299.0
1767,297.0
92,-195.0
770,-32.0
1047,872.0
4242,584.0
4370,5431.0
1770,-1.0
807,-202.0
723,586.0
3213,13229.0
4199,603.0
4151,2478.0
4036,4441.0
3901,395.0
970,1013.0
567,3611.0
2808,1532.0
3861,961.0
3666,38.0
318,2971.0
3909,2187.0
990,964.0
4083,1612.0
1513,-99.0
2850,1574.0
106,427.0
1604,151.0
160,20.0
3680,4094.0
1213,2576.0
4338,19447.0
931,2993.0
641,0.0
4423,2048.0
2303,3485.0
151,442.0
3931,3676.0
2234,1.0
4206,260.0
180,172.0
3813,1732.0
2038,5137.0
747,322.0
778,0.0
1332,204.0
3383,103.0
3814,263.0
2925,-97.0
347,2587.0
888,757.0
2087,1566.0
2049,4198.0
1848,2240.0
4104,1325.0
3957,52.0
294,3681.0
1363,2627.0
1832,-81.0
1451,3748.0
4126,358.0
1237,189.0
3971,1758.0
4305,306.0
1244,1467.0
221,4030.0
2697,2506.0
2550,251.0
357,3196.0
2198,575.0
3103,61.0
2580,42.0
2028,245.0
1728,6.0
1686,302.0
584,192.0
2505,-59.0
1151,205.0
1239,4229.0
3212,177.0
3369,1291.0
875,11303.0
109,0.0
2907,1707.0
466,-370.0
976,1594.0
3477,574.0
291,480.0
164,80.0
2854,35.0
1137,3052.0
2346,1169.0
4287,3337.0
2987,128.0
2376,152.0
242,3762.0
2493,40.0
801,445.0
3072,2366.0
645,548.0
3055,2.0
1936,695.0
2369,68.0
4518,295.0
4497,38.0
1585,5639.0
3639,929.0
528,2567.0
3294,1217.0
2846,881.0
2609,-226.0
3498,462.0
1258,741.0
2484,1153.0
587,16.0
498,258.0
468,10378.0
2923,260.0
2169,404.0
1507,-7.0
2937,705.0
3334,23.0
3222,5739.0
2862,900.0
3402,131.0
4071,12.0
3863,3470.0
2630,0.0
1264,541.0
1456,-423.0
1385,3165.0
3319,1309.0
4326,9.0
3299,427.0
1684,1322.0
1555,412.0
27,696.0
3514,270.0
3939,243.0
3535,199.0
3194,81.0
219,400.0
516,691.0
1550,1012.0
451,-402.0
2662,981.0
680,174.0
3703,-97.0
588,-256.0
3163,373.0
1276,5037.0
2129,-306.0
4463,920.0
351,32.0
1098,0.0
671,310.0
2789,621.0
3552,35.0
832,163.0
184,-62.0
1384,-335.0
3431,153.0
1762,44.0
15,194.0
971,262.0
3089,427.0
1986,618.0
4343,40.0
2641,19.0
4172,760.0
1847,291.0
4315,749.0
2355,1286.0
293,0.0
3157,6053.0
3794,3274.0
4374,3854.0
2957,0.0
1104,851.0
373,-379.0
2591,2892.0
2019,42.0
4281,335.0
61,415.0
4341,0.0
1731,235.0
1052,11.0
148,179.0
1819,10.0
3166,1156.0
3516,198.0
3357,25.0
380,0.0
2143,4089.0
2475,975.0
1836,2488.0
4378,195.0
968,1909.0
310,8545.0
2804,775.0
1869,773.0
3777,396.0
614,1161.0
3568,1022.0
3711,781.0
1692,0.0
3629,401.0
3391,70.0
3465,5092.0
3898,748.0
3767,139.0
220,-22.0
1515,19.0
1875,180.0
2722,25.0
4237,2085.0
1044,178.0
1403,912.0
2668,428.0
260,209.0
989,353.0
4030,0.0
716,115.0
3169,-314.0
3541,310.0
3618,248.0
3389,361.0
3365,1847.0
2091,-22.0
2398,-2082.0
544,2465.0
2576,469.0
3058,4030.0
1810,373.0
3506,3.0
4398,31.0
4138,2880.0
1682,415.0
56,82.0
3188,86.0
2135,3.0
4111,1959.0
3614,261.0
3467,221.0
1946,257.0
3411,0.0
2385,3333.0
4080,2805.0
299,759.0
4227,0.0
3407,502.0
4027,265.0
1381,204.0
69,360.0
4146,1259.0
1413,1520.0
1890,499.0
3178,786.0
2126,781.0
1209,1640.0
2564,-701.0
1303,1519.0
1845,261.0
168,310.0
2407,33.0
2205,3823.0
229,0.0
484,55.0
2280,-105.0
4056,2420.0
2181,33.0
3271,4438.0
1470,4103.0
270,0.0
2588,134.0
2093,72.0
1525,871.0
3199,1922.0
4163,33.0
1218,2508.0
815,456.0
232,33.0
3593,1628.0
4506,-166.0
3868,-407.0
1921,434.0
4297,592.0
302,345.0
3107,658.0
3138,23.0
1236,116.0
3744,321.0
2459,0.0
3850,377.0
3888,23.0
2085,-77.0
2753,133.0
2933,1601.0
1324,171.0
54,2231.0
2620,1453.0
3952,887.0
1695,132.0
2236,-18.0
2466,5564.0
1648,744.0
3460,110.0
1313,151.0
2542,105.0
3025,16957.0
1349,425.0
3759,65.0
3028,79.0
3252,2278.0
867,636.0
837,7066.0
3715,2967.0
1366,-296.0
4171,969.0
1342,710.0
3699,253.0
3751,116.0
505,296.0
1172,230.0
28,784.0
2472,865.0
1391,361.0
3137,3068.0
1296,2.0
2193,0.0
3336,215.0
1068,14.0
3687,770.0
967,6411.0
1531,2749.0
4143,753.0
4355,-292.0
603,2881.0
2784,5731.0
2109,-145.0
4416,811.0
3483,7780.0
100,0.0
1781,286.0
541,59.0
4415,-133.0
1743,34.0
2882,-254.0
3935,1704.0
2332,102.0
2528,745.0
1887,18347.0
3549,292.0
3763,137.0
1207,177.0
4438,98.0
4359,3232.0
4203,1689.0
487,779.0
987,604.0
363,2039.0
198,782.0
4159,94.0
2810,103.0
2215,1534.0
305,205.0
1462,2727.0
1003,355.0
2283,0.0
4331,263.0
4106,647.0
783,179.0
2659,92.0
1093,-218.0
2439,64.0
2679,699.0
1776,17555.0
1497,197.0
1079,202.0
1373,379.0
333,228.0
2220,139.0
3230,2285.0
2366,0.0
2531,696.0
4239,2305.0
2149,1059.0
3688,-673.0
1049,72.0
633,0.0
123,-231.0
3586,2160.0
1131,2817.0
3023,1830.0
4275,15.0
1323,91.0
942,222.0
3414,173.0
1910,1139.0
4472,200.0
1474,432.0
139,6313.0
2986,1.0
1783,0.0
3749,410.0
1777,5172.0
490,826.0
392,2923.0
197,1.0
1948,3083.0
1599,0.0
1713,2190.0
1271,673.0
338,1084.0
1793,399.0
306,687.0
248,484.0
2456,3163.0
1119,4937.0
1578,1041.0
1757,243.0
911,1427.0
3481,0.0
315,1317.0
2685,0.0
3499,0.0
4039,448.0
3105,0.0
4012,0.0
1808,808.0
2980,1580.0
739,1034.0
3146,357.0
662,25.0
2316,13342.0
4081,565.0
1879,2211.0
2260,691.0
2529,8106.0
1330,-584.0
2137,0.0
915,4040.0
2292,2087.0
3578,719.0
2414,118.0
4133,0.0
4307,186.0
3945,157.0
3344,395.0
2114,1412.0
1730,630.0
4414,256.0
3279,2197.0
458,641.0
1825,0.0
3714,434.0
1149,1173.0
4517,-3313.0
1274,-97.0
644,890.0
145,106.0
3266,192.0
1753,83.0
2730,9.0
557,1304.0
3475,0.0
4321,-27.0
3648,691.0
264,883.0
477,7802.0
1744,795.0
1352,1021.0
844,65.0
2713,98.0
1827,4374.0
2136,0.0
3415,-162.0
2293,2.0
1919,2552.0
1475,1172.0
4395,1568.0
2417,0.0
4263,10.0
1741,51.0
345,219.0
2103,1970.0
1162,186.0
2375,622.0
3531,0.0
4284,641.0
2069,35.0
1420,452.0
842,1927.0
750,1.0
1376,1466.0
1590,191.0
3413,61.0
2732,-322.0
2392,1343.0
2301,14.0
1689,3238.0
3309,618.0
956,3276.0
502,13.0
3825,4.0
267,-988.0
3045,3177.0
2638,290.0
612,81.0
851,5.0
2261,0.0
3422,1047.0
1180,636.0
2650,158.0
1100,1831.0
2600,959.0
2266,0.0
1182,126.0
3978,1948.0
362,395.0
2723,9851.0
1441,301.0
3283,2128.0
3041,92.0
4320,333.0
2465,4232.0
2624,22370.0
2397,30.0
105,574.0
4258,5980.0
2322,46.0
1228,4902.0
3021,60.0
3820,5549.0
3960,1611.0
2848,462.0
121,419.0
2066,2959.0
2139,0.0
3108,1679.0
4059,1533.0
3886,678.0
2151,602.0
3766,311.0
1278,-932.0
11,264.0
788,764.0
3921,7944.0
3168,2381.0
1966,10.0
2339,2059.0
1828,456.0
4107,2142.0
524,-839.0
626,9449.0
2142,864.0
199,3771.0
1163,977.0
322,179.0
608,1594.0
2839,1327.0
1227,75.0
2464,1129.0
1980,2038.0
3362,6.0
350,1660.0
202,2658.0
972,3217.0
933,361.0
2559,17.0
3246,-241.0
809,703.0
2741,61.0
3604,0.0
1108,146.0
1960,98.0
2888,0.0
2025,2975.0
2409,1649.0
2431,1289.0
2867,1.0
2175,442.0
2514,694.0
1455,14.0
3106,10.0
3434,21.0
1780,1533.0
4099,71.0
1852,669.0
2159,386.0
3872,209.0
2480,3636.0
433,130.0
2059,1412.0
2362,407.0
3405,1102.0
693,28.0
2457,32.0
2209,0.0
1257,5050.0
594,0.0
3315,79.0
240,1.0
3248,1026.0
2131,1265.0
1934,489.0
720,810.0
2330,7.0
1969,175.0
158,50.0
2780,302.0
3791,22196.0
2885,50.0
829,714.0
2222,475.0
2940,1191.0
2782,64.0
2403,1048.0
678,133.0
1231,490.0
254,222.0
2328,913.0
1178,1.0
7,147.0
3670,92.0
364,5450.0
4404,4945.0
2801,1100.0
887,338.0
1359,0.0
1750,3232.0
1196,4415.0
531,76.0
3184,5086.0
509,315.0
2078,1086.0
928,6102.0
846,4366.0
2570,0.0
1341,413.0
3690,0.0
3897,2096.0
2714,477.0
4179,-566.0
3316,3043.0
3031,332.0
178,1699.0
3359,34.0
3311,230.0
1873,4143.0
4139,1069.0
3001,-26.0
2761,0.0
3735,58.0
312,2.0
884,606.0
1649,608.0
1235,-632.0
885,0.0
1716,1550.0
3659,64.0
1110,-10.0
331,828.0
1354,781.0
3628,182.0
1336,856.0
1133,127.0
532,663.0
341,478.0
3741,30.0
3033,-54.0
3530,112.0
372,-140.0
2629,1770.0
3602,474.0
1964,50.0
2851,1625.0
556,2275.0
3674,0.0
1169,1193.0
1759,3672.0
2768,88.0
2380,6402.0
2673,560.0
1121,5403.0
3592,0.0
2348,940.0
3113,-37.0
3142,1147.0
2153,255.0
3890,459.0
1788,113.0
3253,157.0
70,0.0
382,9676.0
4454,102.0
2056,1469.0
3092,523.0
3104,2557.0
2746,1219.0
718,498.0
2705,75.0
2402,772.0
2575,827.0
3657,3337.0
707,8894.0
777,102.0
3910,14440.0
2282,787.0
1077,1988.0
1408,39.0
835,-151.0
2310,320.0
1998,1378.0
570,242.0
235,20.0
2187,-11.0
2906,0.0
908,3485.0
4189,699.0
2489,-966.0
4252,563.0
1997,77.0
1857,434.0
3996,-294.0
574,67.0
4233,582.0
741,1633.0
692,599.0
4457,6969.0
1479,620.0
452,1577.0
4068,6900.0
2016,7876.0
1634,759.0
1230,1341.0
1241,549.0
492,1796.0
3122,318.0
3082,1868.0
2949,147.0
1639,376.0
4481,642.0
782,865.0
1322,2008.0
327,145.0
4066,3064.0
431,20.0
1280,236.0
3322,178.0
4456,3953.0
3426,2077.0
1541,634.0
2724,5095.0
3016,122.0
3816,3540.0
1291,61.0
35,1811.0
766,1052.0
285,2269.0
1538,203.0
1735,407.0
3112,1160.0
401,517.0
3642,83.0
237,206.0
1901,34.0
3385,0.0
2053,-46.0
4127,917.0
279,37.0
304,353.0
2084,343.0
2011,0.0
2891,0.0
1001,438.0
2861,0.0
1558,3432.0
3842,608.0
3922,1143.0
3285,1477.0
1711,2185.0
394,43.0
752,352.0
4091,2394.0
1503,-113.0
2558,796.0
337,1410.0
3466,1088.0
497,4943.0
2880,481.0
2000,60.0
1621,203.0
4362,697.0
174,9009.0
2054,0.0
1814,180.0
3262,314.0
406,744.0
1378,951.0
475,452.0
4183,2934.0
2201,777.0
736,204.0
701,445.0
111,1517.0
1461,0.0
2252,2433.0
2086,1046.0
3204,0.0
2219,2776.0
1344,171.0
1945,4404.0
4379,1172.0
2971,346.0
3151,59.0
3669,30.0
343,3950.0
3812,3342.0
1543,47.0
2656,712.0
2077,201.0
356,271.0
572,1319.0
2442,118.0
3569,78.0
3944,171.0
4387,3653.0
1148,446.0
3987,61.0
3606,308.0
3450,389.0
22,106.0
2551,-17.0
2975,-551.0
4221,2106.0
3287,127.0
4044,2.0
4001,191.0
2231,48.0
2840,557.0
1849,0.0
3784,2034.0
1414,-140.0
4388,1097.0
1283,639.0
4391,266.0
3354,1471.0
4220,-416.0
2228,3973.0
211,-350.0
2603,-8.0
1651,1291.0
2554,777.0
67,444.0
3716,-331.0
945,1066.0
3984,1378.0
775,168.0
2502,0.0
1551,245.0
4442,1506.0
3337,23.0
4230,4039.0
513,108.0
144,323.0
3900,3809.0
4317,-1.0
1361,73.0
2063,694.0
3555,-674.0
3691,5244.0
3396,465.0
1034,2323.0
551,-228.0
1860,99.0
3380,142.0
2420,5498.0
1747,-469.0
1045,299.0
1533,1721.0
873,2485.0
1117,-411.0
1834,0.0
233,0.0
3328,112.0
824,794.0
3187,474.0
1880,-495.0
2232,7696.0
1284,849.0
3182,1554.0
880,255.0
2674,325.0
2737,8309.0
359,2572.0
64,16873.0
3507,198.0
346,1602.0
2343,223.0
4132,1063.0
2901,223.0
1794,-435.0
1247,-11.0
4513,322.0
3929,0.0
823,1429.0
3926,-1.0
2773,0.0
4371,317.0
3386,517.0
1171,0.0
1036,2647.0
170,2980.0
2726,1368.0
4421,7845.0
2748,-839.0
1915,1026.0
2779,-588.0
878,203.0
3752,0.0
2177,671.0
3095,1810.0
1763,2887.0
3732,79.0
3622,614.0
952,2662.0
1527,63.0
2743,1067.0
4205,0.0
4103,25.0
3378,0.0
3525,68.0
1365,-319.0
2450,2519.0
2565,817.0
4096,37.0
243,-247.0
4157,159.0
1984,551.0
2813,1990.0
4207,589.0
1261,1.0
4234,8218.0
2377,2.0
4177,1341.0
2412,419.0
1683,0.0
17,2317.0
3701,5108.0
4069,-179.0
1056,3904.0
4155,914.0
204,455.0
3893,61.0
1120,725.0
3595,447.0
2399,89.0
4393,101.0
480,715.0
102,5996.0
599,1413.0
4314,1626.0
2775,685.0
2632,2358.0
1774,781.0
4325,-626.0
2899,123.0
2356,804.0
4084,180.0
2913,413.0
3376,382.0
939,8312.0
215,372.0
1211,10177.0
2140,3727.0
1286,1218.0
1072,419.0
1075,454.0
2686,0.0
1615,417.0
2889,109.0
916,13.0
2042,625.0
3367,897.0
1739,889.0
1593,1572.0
449,2.0
553,1932.0
217,975.0
3065,-31.0
1114,487.0
1418,2253.0
665,0.0
1749,825.0
3399,1285.0
2796,1270.0
3447,146.0
2273,-11.0
549,378.0
2092,0.0
4458,572.0
1653,306.0
3308,362.0
535,1054.0
1800,0.0
316,182.0
1778,15520.0
2541,14.0
2156,57.0
2755,1114.0
2985,16.0
743,3334.0
1347,751.0
3048,414.0
4097,410.0
1421,-97.0
3312,1287.0
1535,4760.0
65,203.0
1961,3419.0
1292,1091.0
508,428.0
1199,2988.0
4019,0.0
1822,156.0
448,2.0
1170,2729.0
2997,589.0
3780,170.0
2410,287.0
2823,3665.0
2534,25.0
1570,176.0
1670,0.0
1410,265.0
300,4531.0
3620,598.0
4515,473.0
2757,0.0
3265,1467.0
4455,181.0
1450,1103.0
3026,26.0
3277,576.0
3417,1983.0
1698,3283.0
652,59.0
3038,2201.0
2082,216.0
402,148.0
2897,326.0
1855,618.0
3617,-422.0
3585,-118.0
841,439.0
2353,1007.0
2161,260.0
2491,4007.0
3782,2320.0
3061,168.0
1517,13.0
1820,4958.0
4292,752.0
2052,263.0
1542,273.0
68,0.0
2858,1558.0
1611,1297.0
3790,92.0
539,920.0
1659,84.0
140,948.0
3018,35.0
473,4608.0
3206,0.0
1457,3696.0
600,264.0
474,666.0
3946,934.0
3381,645.0
3067,318.0
1130,877.0
3430,1922.0
319,1064.0
3918,49.0
409,0.0
118,52.0
1900,0.0
2692,1310.0
3838,-614.0
1012,841.0
4085,0.0
1709,70.0
2733,1114.0
784,5.0
262,5803.0
2872,308.0
1522,238.0
4270,896.0
2573,171.0
4482,466.0
3320,290.0
410,322.0
4471,3534.0
424,342.0
4278,1810.0
1790,1477.0
658,57.0
3086,736.0
2778,602.0
1755,226.0
2728,-396.0
266,872.0
98,2843.0
2120,0.0
3111,0.0
4232,-242.0
709,14752.0
2492,567.0
902,409.0
2613,725.0
1073,726.0
4134,424.0
47,0.0
2973,556.0
3979,751.0
831,1996.0
1702,343.0
642,1178.0
3833,1139.0
2047,1937.0
4508,642.0
1694,1798.0
3114,94.0
97,261.0
1050,0.0
4269,185.0
1006,5.0
1566,2418.0
948,428.0
1039,9720.0
456,5462.0
808,271.0
1870,10788.0
2802,516.0
1016,439.0
1146,246.0
3916,0.0
2190,837.0
2812,748.0
4492,309.0
684,168.0
3099,0.0
2426,519.0
3734,0.0
2729,1011.0
2543,767.0
1547,1544.0
2048,3859.0
1018,466.0
2793,7864.0
3159,725.0
439,22.0
526,1033.0
2568,2917.0
1311,867.0
2831,1980.0
2300,13.0
3563,151.0
2892,2685.0
2664,-70.0
2747,7.0
2792,478.0
4274,378.0
1125,2998.0
3600,0.0
1981,833.0
3179,4015.0
2586,376.0
1486,782.0
3427,0.0
1594,385.0
1967,950.0
2247,94.0
3276,2723.0
3558,6610.0
1978,310.0
756,1167.0
3510,136.0
3393,279.0
1282,2581.0
3692,117.0
375,0.0
24,543.0
2504,280.0
3302,0.0
4140,4382.0
1681,300.0
1060,1147.0
3873,3304.0
290,4108.0
1203,5173.0
4192,584.0
1185,-6.0
2930,73.0
4257,-220.0
1088,416.0
997,673.0
1812,3250.0
2360,1678.0
253,3401.0
3482,5706.0
3034,-102.0
141,0.0
3621,949.0
586,518.0
3583,149.0
4467,1577.0
2970,252.0
4478,0.0
2238,479.0
4504,1080.0
2267,185.0
4122,248.0
2240,1130.0
3165,37.0
3970,586.0
1756,-55.0
3269,48.0
3109,0.0
3915,0.0
2585,4895.0
2152,0.0
2594,292.0
1668,655.0
58,101.0
149,391.0
1157,23.0
2617,171.0
3675,349.0
921,136.0
2041,154.0
1933,474.0
117,4111.0
1647,0.0
49,4629.0
3848,1274.0
3054,334.0
898,793.0
2141,0.0
2036,-192.0
2653,0.0
3882,1198.0
3974,208.0
1843,247.0
4342,2284.0
3445,427.0
1502,635.0
3731,424.0
1367,169.0
1796,15.0
3234,3797.0
3321,1792.0
3765,3450.0
4385,1121.0
1153,369.0
1989,2926.0
4381,0.0
2168,1836.0
730,1146.0
1821,21244.0
3260,542.0
1192,475.0
2969,2408.0
3655,1242.0
3554,50.0
272,12186.0
3775,3355.0
2509,0.0
1058,1390.0
2606,5543.0
3551,2416.0
3810,3658.0
580,361.0
869,150.0
413,0.0
3177,11797.0
4247,0.0
1270,122.0
1567,2934.0
2180,11.0
335,447.0
877,19358.0
2843,1439.0
1993,419.0
1690,751.0
1687,809.0
1581,406.0
1534,2171.0
110,2488.0
2449,925.0
0,1787.0
2752,8627.0
2642,143.0
870,839.0
529,1584.0
2786,6307.0
3478,320.0
1177,4579.0
2574,259.0
2026,894.0
3145,976.0
3529,2731.0
1037,2767.0
3860,51.0
38,3935.0
1944,333.0
2871,2431.0
462,0.0
2297,118.0
700,3.0
1260,-56.0
3610,-435.0
2002,1583.0
159,1641.0
1126,610.0
4309,1547.0
4318,-32.0
4149,92.0
1779,13711.0
1906,15.0
2473,-1053.0
3601,293.0
3394,4.0
2317,6570.0
2429,203.0
3527,2411.0
1553,3990.0
3998,724.0
4152,6844.0
2383,0.0
1688,-278.0
2989,42045.0
1190,0.0
2857,368.0
2099,6922.0
3355,937.0
3980,784.0
3480,440.0
1881,27359.0
2798,141.0
1094,1012.0
3855,-9.0
2233,4500.0
3917,12.0
520,0.0
2670,0.0
802,643.0
649,252.0
1140,3875.0
273,524.0
3288,2921.0
2577,2226.0
2289,681.0
83,657.0
4022,5.0
2914,655.0
514,-381.0
2879,848.0
3632,0.0
1675,1666.0
2,1350.0
470,8969.0
3556,3726.0
3856,83.0
2386,16992.0
1356,604.0
3226,1518.0
2406,3064.0
3804,1670.0
1390,603.0
2926,1465.0
3522,89.0
3330,0.0
8,221.0
1635,687.0
2853,9305.0
3363,467.0
3528,225.0
1628,821.0
1105,2885.0
2437,0.0
2029,0.0
460,383.0
4503,362.0
192,1372.0
3562,424.0
759,233.0
657,43.0
1811,-101.0
1054,787.0
2154,63.0
927,1097.0
2160,3387.0
1758,-336.0
2991,0.0
1916,3921.0
1293,743.0
849,976.0
1994,4758.0
3847,385.0
2951,55.0
519,5207.0
4112,96.0
2387,23.0
33,2536.0
1495,79.0
4026,3601.0
1046,285.0
16,4073.0
436,259.0
3446,8876.0
1952,6046.0
740,3250.0
